episode,score,total_reward,survival_steps,epsilon,moving_avg_score_100,moving_avg_reward_100
1,0,-10.5,6,0.995,0.0,-10.5
2,0,-10.5,6,0.990025,0.0,-10.5
3,0,-10.8,9,0.985074875,0.0,-10.6
4,0,-11.700000000000001,18,0.9801495006250001,0.0,-10.875
5,0,-10.6,7,0.9752487531218751,0.0,-10.82
6,0,-10.2,3,0.9703725093562657,0.0,-10.716666666666667
7,0,-10.6,7,0.9655206468094844,0.0,-10.7
8,0,-11.5,16,0.960693043575437,0.0,-10.8
9,0,-10.5,6,0.9558895783575597,0.0,-10.766666666666667
10,0,-10.5,6,0.9511101304657719,0.0,-10.74
11,0,-10.6,7,0.946354579813443,0.0,-10.727272727272727
12,1,-0.7999999999999972,10,0.9416228069143757,0.08333333333333333,-9.9
13,1,-1.700000000000001,19,0.9369146928798039,0.15384615384615385,-9.26923076923077
14,0,-10.3,4,0.9322301194154049,0.14285714285714285,-9.342857142857143
15,0,-10.6,7,0.9275689688183278,0.13333333333333333,-9.426666666666668
16,0,-10.4,5,0.9229311239742362,0.125,-9.4875
17,1,-0.7999999999999989,10,0.918316468354365,0.17647058823529413,-8.976470588235296
18,1,-1.3999999999999986,16,0.9137248860125932,0.2222222222222222,-8.555555555555557
19,0,-10.2,3,0.9091562615825302,0.21052631578947367,-8.642105263157896
20,0,-10.4,5,0.9046104802746175,0.2,-8.73
21,1,-0.40000000000000036,6,0.9000874278732445,0.23809523809523808,-8.333333333333334
22,0,-10.4,5,0.8955869907338783,0.22727272727272727,-8.42727272727273
23,0,-10.5,6,0.8911090557802088,0.21739130434782608,-8.517391304347827
24,0,-12.8,29,0.8866535105013078,0.20833333333333334,-8.695833333333333
25,0,-10.3,4,0.8822202429488013,0.2,-8.76
26,2,9.399999999999999,9,0.8778091417340573,0.2692307692307692,-8.061538461538461
27,0,-10.4,5,0.8734200960253871,0.25925925925925924,-8.148148148148149
28,0,-10.5,6,0.8690529955452602,0.25,-8.232142857142858
29,0,-10.3,4,0.8647077305675338,0.2413793103448276,-8.303448275862069
30,1,-0.3999999999999986,6,0.8603841919146962,0.26666666666666666,-8.040000000000001
31,1,-0.8999999999999968,11,0.8560822709551227,0.2903225806451613,-7.8096774193548395
32,0,-10.8,9,0.851801859600347,0.28125,-7.903124999999999
33,0,-11.0,11,0.8475428503023453,0.2727272727272727,-7.996969696969696
34,0,-10.3,4,0.8433051360508336,0.2647058823529412,-8.064705882352941
35,0,-11.1,12,0.8390886103705794,0.2571428571428571,-8.151428571428571
36,0,-10.6,7,0.8348931673187264,0.25,-8.219444444444445
37,1,-0.1999999999999993,4,0.8307187014821328,0.2702702702702703,-8.002702702702702
38,0,-10.5,6,0.8265651079747222,0.2631578947368421,-8.06842105263158
39,0,-10.3,4,0.8224322824348486,0.2564102564102564,-8.125641025641027
40,0,-10.5,6,0.8183201210226743,0.25,-8.184999999999999
41,0,-11.0,11,0.8142285204175609,0.24390243902439024,-8.253658536585366
42,0,-11.4,15,0.810157377815473,0.23809523809523808,-8.328571428571427
43,1,-0.5999999999999979,8,0.8061065909263957,0.2558139534883721,-8.148837209302325
44,0,-10.6,7,0.8020760579717637,0.25,-8.204545454545455
45,0,-10.5,6,0.798065677681905,0.24444444444444444,-8.255555555555556
46,0,-10.4,5,0.7940753492934954,0.2391304347826087,-8.302173913043477
47,0,-10.4,5,0.7901049725470279,0.23404255319148937,-8.346808510638297
48,0,-10.5,6,0.7861544476842928,0.22916666666666666,-8.391666666666667
49,0,-10.3,4,0.7822236754458713,0.22448979591836735,-8.43061224489796
50,2,9.400000000000002,9,0.778312557068642,0.26,-8.074000000000002
51,0,-10.7,8,0.7744209942832988,0.2549019607843137,-8.125490196078433
52,0,-10.7,8,0.7705488893118823,0.25,-8.175
53,1,-0.4999999999999982,7,0.7666961448653229,0.2641509433962264,-8.030188679245283
54,0,-10.4,5,0.7628626641409962,0.25925925925925924,-8.074074074074074
55,0,-10.3,4,0.7590483508202912,0.2545454545454545,-8.114545454545455
56,0,-11.5,16,0.7552531090661897,0.25,-8.174999999999999
57,0,-10.6,7,0.7514768435208588,0.24561403508771928,-8.217543859649123
58,0,-10.4,5,0.7477194593032545,0.2413793103448276,-8.255172413793103
59,0,-10.4,5,0.7439808620067382,0.23728813559322035,-8.291525423728812
60,0,-11.2,13,0.7402609576967045,0.23333333333333334,-8.339999999999998
61,0,-10.4,5,0.736559652908221,0.22950819672131148,-8.373770491803278
62,1,-1.0,12,0.7328768546436799,0.24193548387096775,-8.254838709677419
63,2,9.600000000000001,7,0.7292124703704616,0.2698412698412698,-7.97142857142857
64,1,-1.4999999999999964,17,0.7255664080186093,0.28125,-7.8703125
65,0,-10.8,9,0.7219385759785162,0.27692307692307694,-7.915384615384616
66,1,-0.40000000000000036,6,0.7183288830986236,0.2878787878787879,-7.801515151515151
67,1,-0.7999999999999989,10,0.7147372386831305,0.29850746268656714,-7.697014925373133
68,0,-10.3,4,0.7111635524897149,0.29411764705882354,-7.735294117647057
69,0,-10.3,4,0.7076077347272662,0.2898550724637681,-7.77246376811594
70,1,-0.1999999999999993,4,0.7040696960536299,0.3,-7.664285714285713
71,0,-10.2,3,0.7005493475733617,0.29577464788732394,-7.699999999999999
72,1,-0.5,7,0.697046600835495,0.3055555555555556,-7.599999999999999
73,1,-0.5999999999999979,8,0.6935613678313175,0.3150684931506849,-7.504109589041096
74,3,18.699999999999996,17,0.6900935609921609,0.35135135135135137,-7.149999999999999
75,3,17.099999999999994,33,0.6866430931872001,0.38666666666666666,-6.826666666666665
76,0,-10.6,7,0.6832098777212641,0.3815789473684211,-6.876315789473683
77,0,-10.7,8,0.6797938283326578,0.37662337662337664,-6.925974025974026
78,1,-1.1999999999999957,14,0.6763948591909945,0.38461538461538464,-6.852564102564102
79,0,-10.4,5,0.6730128848950395,0.379746835443038,-6.897468354430379
80,1,-0.09999999999999964,3,0.6696478204705644,0.3875,-6.8125
81,0,-10.3,4,0.6662995813682115,0.38271604938271603,-6.855555555555555
82,1,-1.2999999999999972,15,0.6629680834613705,0.3902439024390244,-6.787804878048779
83,1,-0.6999999999999993,9,0.6596532430440636,0.39759036144578314,-6.7144578313253005
84,1,-1.3999999999999986,16,0.6563549768288433,0.40476190476190477,-6.651190476190475
85,1,-1.299999999999999,15,0.653073201944699,0.4117647058823529,-6.588235294117646
86,1,-2.6000000000000005,28,0.6498078359349755,0.4186046511627907,-6.541860465116278
87,2,9.399999999999999,9,0.6465587967553006,0.4367816091954023,-6.358620689655171
88,0,-10.2,3,0.6433260027715241,0.4318181818181818,-6.402272727272727
89,1,-0.7999999999999972,10,0.6401093727576664,0.43820224719101125,-6.339325842696629
90,0,-10.3,4,0.6369088258938781,0.43333333333333335,-6.383333333333332
91,0,-10.4,5,0.6337242817644086,0.42857142857142855,-6.427472527472526
92,1,-1.8999999999999968,21,0.6305556603555866,0.43478260869565216,-6.378260869565215
93,1,-0.40000000000000036,6,0.6274028820538087,0.44086021505376344,-6.313978494623654
94,0,-10.4,5,0.6242658676435396,0.43617021276595747,-6.357446808510636
95,1,-0.1999999999999993,4,0.6211445383053219,0.4421052631578947,-6.292631578947367
96,1,-0.5999999999999979,8,0.6180388156137953,0.4479166666666667,-6.233333333333333
97,0,-10.5,6,0.6149486215357263,0.44329896907216493,-6.277319587628866
98,3,19.4,10,0.6118738784280476,0.46938775510204084,-6.01530612244898
99,1,-0.9999999999999982,12,0.6088145090359074,0.47474747474747475,-5.9646464646464645
100,2,8.599999999999994,17,0.6057704364907278,0.49,-5.819
101,1,-0.9999999999999982,12,0.6027415843082742,0.5,-5.724
102,0,-10.5,6,0.5997278763867329,0.5,-5.724
103,0,-10.9,10,0.5967292370047992,0.5,-5.724999999999999
104,0,-10.4,5,0.5937455908197752,0.5,-5.712
105,2,8.0,23,0.5907768628656763,0.52,-5.525999999999999
106,1,-1.4999999999999982,17,0.5878229785513479,0.53,-5.438999999999998
107,1,-0.5999999999999979,8,0.5848838636585911,0.54,-5.3389999999999995
108,1,-1.5,17,0.5819594443402982,0.55,-5.239
109,1,-2.0999999999999996,23,0.5790496471185967,0.56,-5.155000000000001
110,1,-0.6999999999999993,9,0.5761543988830038,0.57,-5.0569999999999995
111,1,-0.29999999999999893,5,0.5732736268885887,0.58,-4.954000000000001
112,1,-0.7999999999999972,10,0.5704072587541458,0.58,-4.954000000000001
113,1,-1.299999999999999,15,0.567555222460375,0.58,-4.95
114,3,17.999999999999986,24,0.5647174463480732,0.61,-4.667
115,0,-10.2,3,0.5618938591163328,0.61,-4.663
116,3,18.599999999999998,18,0.5590843898207511,0.64,-4.372999999999999
117,3,18.700000000000003,17,0.5562889678716474,0.66,-4.178
118,0,-11.4,15,0.5535075230322891,0.65,-4.277999999999999
119,0,-11.5,16,0.5507399854171277,0.65,-4.2909999999999995
120,1,-0.5,7,0.547986285490042,0.66,-4.192
121,0,-10.2,3,0.5452463540625918,0.65,-4.289999999999999
122,1,-0.1999999999999993,4,0.5425201222922789,0.66,-4.188
123,2,8.59999999999999,17,0.5398075216808175,0.68,-3.997
124,0,-10.6,7,0.5371084840724134,0.68,-3.9750000000000005
125,1,-1.4000000000000004,16,0.5344229416520513,0.69,-3.886
126,1,-0.8000000000000007,10,0.531750826943791,0.68,-3.988000000000001
127,2,9.3,10,0.5290920728090721,0.7,-3.7910000000000004
128,0,-11.700000000000001,18,0.5264466124450268,0.7,-3.802999999999999
129,0,-10.3,4,0.5238143793828016,0.7,-3.8029999999999995
130,2,9.899999999999999,4,0.5211953074858876,0.71,-3.7
131,0,-10.5,6,0.5185893309484582,0.7,-3.7960000000000003
132,0,-10.4,5,0.5159963842937159,0.7,-3.792
133,5,38.29999999999999,23,0.5134164023722473,0.75,-3.298999999999999
134,2,9.099999999999994,12,0.510849320360386,0.77,-3.105
135,1,-1.3000000000000007,15,0.5082950737585841,0.78,-3.0069999999999997
136,0,-10.8,9,0.5057535983897912,0.78,-3.009
137,1,-1.8999999999999968,21,0.5032248303978422,0.78,-3.0260000000000002
138,1,-1.5,17,0.500708706245853,0.79,-2.9360000000000004
139,0,-11.0,11,0.4982051627146237,0.79,-2.943
140,0,-10.6,7,0.49571413690105054,0.79,-2.944
141,2,8.199999999999985,21,0.4932355662165453,0.81,-2.7520000000000007
142,2,8.499999999999993,18,0.4907693883854626,0.83,-2.553
143,3,17.99999999999998,24,0.4883155414435353,0.85,-2.367000000000001
144,3,18.599999999999994,18,0.4858739637363176,0.88,-2.0750000000000006
145,3,17.69999999999999,27,0.483444593917636,0.91,-1.7930000000000006
146,0,-16.39999999999999,65,0.4810273709480478,0.91,-1.8530000000000006
147,1,-1.6999999999999975,19,0.47862223409330756,0.92,-1.766000000000001
148,2,9.600000000000001,7,0.47622912292284103,0.94,-1.5650000000000004
