episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,q_learning,epsilon_greedy,none,8,0,-11.8,-11.8,19,collision,0.619,0.0,-11.8,19.0,0.995,0.995,12,16,0.0001914225260416667,0.0,-1.0
2,q_learning,epsilon_greedy,none,8,0,-10.7,-10.7,8,collision,1.33625,0.0,-11.25,13.5,0.990025,0.990025,19,23,0.0003654134114583333,0.0,-1.0
3,q_learning,epsilon_greedy,none,8,0,-10.8,-10.8,9,collision,1.1966666666666668,0.0,-11.1,12.0,0.985074875,0.985074875,22,29,0.0005407063802083333,0.0,-1.0
4,q_learning,epsilon_greedy,none,8,0,-10.7,-10.7,8,collision,1.33625,0.0,-11.0,11.0,0.9801495006250001,0.9801495006250001,28,36,0.000714697265625,0.0,-1.0
5,q_learning,epsilon_greedy,none,8,0,-12.5,-12.5,26,collision,0.43052807692307693,0.0,-11.3,14.0,0.9752487531218751,0.9752487531218751,29,43,0.0008968868815104166,0.0,-1.9
6,q_learning,epsilon_greedy,none,8,0,-11.0,-11.0,11,collision,0.9813947081818182,0.0,-11.25,13.5,0.9703725093562657,0.9703725093562657,29,44,0.0010725923142903646,0.0,-1.9
7,q_learning,epsilon_greedy,none,8,0,-11.1,-11.1,12,collision,0.920325,0.0,-11.228571428571428,13.285714285714286,0.9655206468094844,0.9655206468094844,35,53,0.0012523432908528645,0.0,-1.9
8,q_learning,epsilon_greedy,none,8,0,-10.8,-10.8,9,collision,1.1964555555555556,0.0,-11.175,12.75,0.960693043575437,0.960693043575437,37,58,0.001427605335123698,0.0,-1.9
9,q_learning,epsilon_greedy,none,8,0,-10.6,-10.6,7,collision,1.512857142857143,0.0,-11.11111111111111,12.11111111111111,0.9558895783575597,0.9558895783575597,40,64,0.001599968616373698,0.0,-1.9
10,q_learning,epsilon_greedy,none,8,0,-10.3,-10.3,4,collision,2.302798275,0.0,-11.03,11.3,0.9511101304657719,0.9511101304657719,40,64,0.0017498903790690104,0.0,-1.9
11,q_learning,epsilon_greedy,none,8,0,-11.5,-11.5,16,collision,0.7130288125,0.0,-11.072727272727272,11.727272727272727,0.946354579813443,0.946354579813443,43,71,0.001935574965657552,0.0,-1.9
12,q_learning,epsilon_greedy,none,8,0,-13.100000000000001,-13.100000000000001,32,collision,0.37229093750000003,0.0,-11.241666666666667,13.416666666666666,0.9416228069143757,0.9416228069143757,45,81,0.0021294764956054685,0.0,-1.9
13,q_learning,epsilon_greedy,none,8,0,-12.0,-12.0,21,collision,0.5657619047619048,0.0,-11.3,14.0,0.9369146928798039,0.9369146928798039,47,91,0.0023228521466471352,0.0,-1.9
14,q_learning,epsilon_greedy,none,8,1,-0.29999999999999893,-0.29999999999999893,5,collision,3.6673615442,0.07142857142857142,-10.514285714285716,13.357142857142858,0.9322301194154049,0.9322301194154049,47,92,0.0026213027931477864,1.0,-2.71
