episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7483333333333333,0.0,-10.5,6.0,0.995,0.995,4,5,0.0001707356770833333,0.0,-1.0
2,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7483333333333333,0.0,-10.5,6.0,0.990025,0.990025,8,10,0.0003414713541666666,0.0,-1.0
3,q_learning,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.198888888888889,0.0,-10.6,7.0,0.985074875,0.985074875,14,18,0.00051708984375,0.0,-1.0
4,q_learning,epsilon_greedy,none,6,0,-11.700000000000001,-11.700000000000001,18,collision,0.6487222222222222,0.0,-10.875,9.75,0.9801495006250001,0.9801495006250001,20,31,0.0007071451822916666,0.0,-1.0
5,q_learning,epsilon_greedy,none,6,0,-10.6,-10.6,7,collision,1.506,0.0,-10.82,9.2,0.9752487531218751,0.9752487531218751,23,34,0.0008787272135416667,0.0,-1.0
6,q_learning,epsilon_greedy,none,6,0,-10.2,-10.2,3,collision,3.3903333333333334,0.0,-10.716666666666667,8.166666666666666,0.9703725093562657,0.9703725093562657,23,35,0.001044270833333333,0.0,-1.0
7,q_learning,epsilon_greedy,none,6,0,-10.6,-10.6,7,collision,1.3587428571428573,0.0,-10.7,8.0,0.9655206468094844,0.9655206468094844,23,35,0.0011990755208333332,0.0,-1.9
8,q_learning,epsilon_greedy,none,6,0,-11.5,-11.5,16,collision,0.7180625,0.0,-10.8,9.0,0.960693043575437,0.960693043575437,31,49,0.0013860709635416665,0.0,-1.9
9,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.75,0.0,-10.766666666666667,8.666666666666666,0.9558895783575597,0.9558895783575597,37,55,0.0015569694010416667,0.0,-1.9
10,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.743215,0.0,-10.74,8.4,0.9511101304657719,0.9511101304657719,40,58,0.0017272052408854165,0.0,-1.9
