variant,algorithm,exploration,reward_shaping,trained_avg_score,trained_std_score,trained_max_score,trained_avg_reward,trained_avg_steps,random_avg_score,improvement_over_random_score,visited_states,visited_state_action_pairs,q_mean_abs
q_learning_epsilon,q_learning,epsilon_greedy,none,13.73,4.288406852589121,27,121.67333333333347,69.98666666666666,0.18666666666666668,13.543333333333333,256,742,0.9360473991507764
q_learning_simple_shaping,q_learning,epsilon_greedy,simple,12.986666666666666,4.315841619995906,27,114.57466666666681,65.56,0.20333333333333334,12.783333333333333,256,744,0.9567079458607073
q_learning_potential_shaping,q_learning,epsilon_greedy,potential,13.796666666666667,3.970137137289956,27,122.4856666666668,67.92333333333333,0.17,13.626666666666667,256,743,0.9638731547839932
q_learning_slow_decay,q_learning,epsilon_greedy,none,14.786666666666667,4.278764099856666,30,131.8363333333335,73.73333333333333,0.15666666666666668,14.63,259,745,1.055729245465808
q_learning_low_initial_epsilon,q_learning,epsilon_greedy,none,12.793333333333333,4.45465549235354,28,112.30966666666679,68.34666666666666,0.16333333333333333,12.629999999999999,256,741,0.8842442372009461
q_learning_softmax,q_learning,softmax,none,13.366666666666667,4.118117153371051,29,118.07433333333347,67.93333333333334,0.22666666666666666,13.14,257,694,0.6348167837844526
q_learning_ucb,q_learning,ucb,none,13.42,4.0567145984569,26,118.20133333333351,71.37666666666667,0.17333333333333334,13.246666666666666,256,768,0.6253808929307669
sarsa_epsilon,sarsa,epsilon_greedy,none,13.326666666666666,4.01496644513445,24,117.76100000000015,66.69,0.22,13.106666666666666,256,747,0.9307153589899638
expected_sarsa_epsilon,expected_sarsa,epsilon_greedy,none,13.45,4.339834866290037,30,118.85800000000015,67.50333333333333,0.17666666666666667,13.273333333333333,256,750,0.9112440206526954
double_q_learning_epsilon,double_q_learning,epsilon_greedy,none,13.983333333333333,4.306938845888367,25,123.94300000000017,72.20333333333333,0.21,13.773333333333332,256,744,1.6383807476268117
