episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,expected_sarsa,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.75,0.0,-10.5,6.0,0.995,0.995,5,6,0.00017089843750000002,0.0,-1.0
2,expected_sarsa,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.080597,0.0,-10.45,5.5,0.990025,0.990025,8,11,0.0003402178548177083,0.0,-1.0
3,expected_sarsa,epsilon_greedy,none,6,1,-0.29999999999999893,-0.29999999999999893,5,collision,4.06,0.3333333333333333,-7.0666666666666655,5.333333333333333,0.985074875,0.985074875,13,16,0.0006706215006510416,1.0,-1.0
4,expected_sarsa,epsilon_greedy,none,6,0,-10.9,-10.9,10,collision,1.0884776123125,0.25,-8.024999999999999,6.5,0.9801495006250001,0.9801495006250001,18,23,0.0008477825703633626,1.0,-1.0
5,expected_sarsa,epsilon_greedy,none,6,0,-12.0,-12.0,21,collision,0.5697584436951696,0.2,-8.819999999999999,9.4,0.9752487531218751,0.9752487531218751,28,38,0.0010425242259232352,1.0,-1.0
6,expected_sarsa,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.57,0.16666666666666666,-9.066666666666665,8.5,0.9703725093562657,0.9703725093562657,30,40,0.0012098419342565685,1.0,-1.0
7,expected_sarsa,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.6306704783891581,0.14285714285714285,-9.27142857142857,8.142857142857142,0.9655206468094844,0.9655206468094844,34,44,0.0013690870981617597,1.0,-1.9
8,expected_sarsa,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7480726127133452,0.125,-9.424999999999999,7.875,0.960693043575437,0.960693043575437,37,48,0.0015397973142470473,1.0,-1.9
9,expected_sarsa,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7515710437423802,0.1111111111111111,-9.544444444444444,7.666666666666667,0.9558895783575597,0.9558895783575597,39,53,0.001710849173987514,1.0,-1.9
10,expected_sarsa,epsilon_greedy,none,6,1,-0.3999999999999986,-0.3999999999999986,6,collision,3.278120023692347,0.2,-8.629999999999999,7.5,0.9511101304657719,0.9511101304657719,40,55,0.00203097808255122,1.0,-1.9
11,expected_sarsa,epsilon_greedy,none,6,0,-11.8,-11.8,19,collision,0.5443299036714994,0.18181818181818182,-8.918181818181816,8.545454545454545,0.946354579813443,0.946354579813443,44,63,0.002199309270210049,1.0,-2.71
12,expected_sarsa,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.138122474342721,0.16666666666666666,-9.041666666666666,8.25,0.9416228069143757,0.9416228069143757,44,67,0.002373310122614242,1.0,-2.71
13,expected_sarsa,epsilon_greedy,none,6,1,-1.8999999999999968,-1.8999999999999968,21,collision,1.0007883759992895,0.23076923076923078,-8.49230769230769,9.23076923076923,0.9369146928798039,0.9369146928798039,51,79,0.002715376462067124,1.0,-2.71
14,expected_sarsa,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.750158148113343,0.21428571428571427,-8.635714285714284,9.0,0.9322301194154049,0.9322301194154049,53,82,0.0028862903437188174,1.0,-2.71
15,expected_sarsa,epsilon_greedy,none,6,2,8.79999999999999,8.79999999999999,15,collision,2.081566194508342,0.3333333333333333,-7.473333333333333,9.4,0.9275689688183278,0.9275689688183278,56,90,0.0033912300070916227,1.8984203924554124,-2.71
16,expected_sarsa,epsilon_greedy,none,6,0,-10.9,-10.9,10,collision,1.1612956183394885,0.3125,-7.6875,9.4375,0.9229311239742362,0.9229311239742362,56,94,0.0035802429658057327,1.8984203924554124,-2.71
17,expected_sarsa,epsilon_greedy,none,6,0,-10.2,-10.2,3,collision,3.4023523851812625,0.29411764705882354,-7.8352941176470585,9.058823529411764,0.918316468354365,0.918316468354365,56,95,0.0037463734533634114,1.8984203924554124,-2.71
18,expected_sarsa,epsilon_greedy,none,6,0,-10.7,-10.7,8,collision,1.3363547586232187,0.2777777777777778,-7.994444444444444,9.0,0.9137248860125932,0.9137248860125932,56,98,0.003917122770892476,1.8984203924554124,-2.71
19,expected_sarsa,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.0791264874547286,0.2631578947368421,-8.121052631578946,8.789473684210526,0.9091562615825302,0.9091562615825302,58,102,0.004086322517592893,1.8984203924554124,-2.71
20,expected_sarsa,epsilon_greedy,none,6,1,-0.9000000000000004,-0.9000000000000004,11,collision,1.8983701167012381,0.3,-7.76,8.9,0.9046104802746175,0.9046104802746175,60,105,0.004425902700599028,1.8984203924554124,-2.71
21,expected_sarsa,epsilon_greedy,none,6,0,-12.200000000000001,-12.200000000000001,23,collision,0.5976519586743854,0.2857142857142857,-7.971428571428571,9.571428571428571,0.9000874278732445,0.9000874278732445,61,110,0.0045958986448189606,1.8984203924554124,-2.71
22,expected_sarsa,epsilon_greedy,none,6,0,-11.6,-11.6,17,collision,0.7212538898112266,0.2727272727272727,-8.136363636363635,9.909090909090908,0.8955869907338783,0.8955869907338783,62,116,0.004795464336986781,1.8984203924554124,-2.71
23,expected_sarsa,epsilon_greedy,none,6,0,-10.7,-10.7,8,collision,1.422549671427462,0.2608695652173913,-8.24782608695652,9.826086956521738,0.8911090557802088,0.8911090557802088,63,119,0.004980692158787231,1.8984203924554124,-2.71
24,expected_sarsa,epsilon_greedy,none,6,0,-10.7,-10.7,8,collision,1.4410412391381104,0.25,-8.35,9.75,0.8866535105013078,0.8866535105013078,63,121,0.005168327736800006,1.8984203924554124,-2.71
25,expected_sarsa,epsilon_greedy,none,6,0,-10.9,-10.9,10,collision,1.1428993202459166,0.24,-8.452,9.76,0.8822202429488013,0.8822202429488013,64,126,0.005354346506371281,1.8984203924554124,-2.71
26,expected_sarsa,epsilon_greedy,none,6,0,-11.4,-11.4,15,collision,0.776796556320039,0.23076923076923078,-8.565384615384616,9.961538461538462,0.8778091417340573,0.8778091417340573,66,131,0.005543212036239041,1.8984203924554124,-2.71
27,expected_sarsa,epsilon_greedy,none,6,0,-10.6,-10.6,7,collision,1.51370678852557,0.2222222222222222,-8.64074074074074,9.851851851851851,0.8734200960253871,0.8734200960253871,67,133,0.005715672119567149,1.8984203924554124,-2.71
28,expected_sarsa,epsilon_greedy,none,6,0,-11.3,-11.3,14,collision,0.8529628498603248,0.21428571428571427,-8.735714285714286,10.0,0.8690529955452602,0.8690529955452602,68,136,0.005909187224392594,1.8984203924554124,-2.71
29,expected_sarsa,epsilon_greedy,none,6,0,-12.100000000000001,-12.100000000000001,22,collision,0.5503984834891381,0.20689655172413793,-8.851724137931036,10.413793103448276,0.8647077305675338,0.8647077305675338,69,141,0.006106270014704461,1.8984203924554124,-2.71
30,expected_sarsa,epsilon_greedy,none,6,0,-10.9,-10.9,10,collision,1.118306822906282,0.2,-8.92,10.4,0.8603841919146962,0.8603841919146962,69,143,0.006288286099161863,1.8984203924554124,-2.71
31,expected_sarsa,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,0.9751806519979094,0.1935483870967742,-8.980645161290324,10.35483870967742,0.8560822709551227,0.8560822709551227,69,143,0.006431134827481869,1.8984203924554124,-3.439
32,expected_sarsa,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.20669050683376,0.1875,-9.021875,10.15625,0.851801859600347,0.851801859600347,69,143,0.006574799574020526,1.8984203924554124,-3.439
33,expected_sarsa,epsilon_greedy,none,6,0,-10.7,-10.7,8,collision,1.134689277609412,0.18181818181818182,-9.072727272727272,10.090909090909092,0.8475428503023453,0.8475428503023453,69,145,0.00672254557370925,1.8984203924554124,-3.439
34,expected_sarsa,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7720127218028685,0.17647058823529413,-9.11470588235294,9.970588235294118,0.8433051360508336,0.8433051360508336,69,145,0.006895593691072813,1.8984203924554124,-3.439
