episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.08,0.0,-10.4,5.0,0.4975,0.995,5,5,0.00016927083333333334,0.0,-1.0
2,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.75,0.0,-10.45,5.5,0.4950125,0.990025,11,11,0.00034016927083333333,0.0,-1.0
3,q_learning,epsilon_greedy,none,6,0,-10.9,-10.9,10,collision,1.0871,0.0,-10.6,7.0,0.4925374375,0.985074875,16,19,0.0005171061197916667,0.0,-1.0
4,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.575,0.0,-10.524999999999999,6.25,0.49007475031250003,0.9801495006250001,20,23,0.0006847493489583334,0.0,-1.0
5,q_learning,epsilon_greedy,none,6,0,-10.9,-10.9,10,collision,1.089,0.0,-10.599999999999998,7.0,0.48762437656093754,0.9752487531218751,28,32,0.0008619954427083332,0.0,-1.0
6,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7466666666666666,0.0,-10.583333333333332,6.833333333333333,0.48518625467813287,0.9703725093562657,29,36,0.0010325683593749998,0.0,-1.0
7,q_learning,epsilon_greedy,none,6,1,-1.1999999999999993,-1.1999999999999993,14,collision,1.5135,0.14285714285714285,-9.242857142857142,7.857142857142857,0.4827603234047422,0.9655206468094844,36,48,0.0013774414062499999,1.0,-1.0
8,q_learning,epsilon_greedy,none,6,0,-10.7,-10.7,8,collision,1.3375,0.125,-9.425,7.875,0.4803465217877185,0.960693043575437,39,56,0.0015515950520833333,1.0,-1.0
9,q_learning,epsilon_greedy,none,6,0,-11.4,-11.4,15,collision,0.7586666666666667,0.1111111111111111,-9.644444444444446,8.666666666666666,0.47794478917877986,0.9558895783575597,45,69,0.00173681640625,1.0,-1.0
10,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.3155,0.1,-9.71,8.2,0.47555506523288593,0.9511101304657719,45,70,0.0018875651041666665,1.0,-1.9
11,q_learning,epsilon_greedy,none,6,0,-10.2,-10.2,3,collision,3.06,0.09090909090909091,-9.754545454545456,7.7272727272727275,0.4731772899067215,0.946354579813443,45,70,0.0020369791666666665,1.0,-1.9
12,q_learning,epsilon_greedy,none,6,0,-10.6,-10.6,7,collision,1.5142857142857142,0.08333333333333333,-9.825000000000001,7.666666666666667,0.47081140345718786,0.9416228069143757,48,77,0.0022095052083333333,1.0,-1.9
13,q_learning,epsilon_greedy,none,6,1,-0.3999999999999986,-0.3999999999999986,6,collision,3.3983333333333334,0.15384615384615385,-9.100000000000001,7.538461538461538,0.46845734643990194,0.9369146928798039,50,82,0.0025413736979166663,1.0,-1.9
14,q_learning,epsilon_greedy,none,6,1,-0.3999999999999986,-0.3999999999999986,6,collision,3.4,0.21428571428571427,-8.47857142857143,7.428571428571429,0.46611505970770245,0.9322301194154049,52,88,0.0028734049479166666,1.0,-1.9
15,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.57225,0.2,-8.600000000000001,7.2,0.4637844844091639,0.9275689688183278,52,90,0.0030408691406249994,1.0,-1.9
16,q_learning,epsilon_greedy,none,6,0,-11.1,-11.1,12,collision,0.9239166666666667,0.1875,-8.75625,7.5,0.4614655619871181,0.9229311239742362,55,98,0.003221321614583333,1.0,-1.9
17,q_learning,epsilon_greedy,none,6,0,-12.5,-12.5,26,collision,0.4767138076923077,0.17647058823529413,-8.976470588235294,8.588235294117647,0.4591582341771825,0.918316468354365,60,109,0.0034230559733072915,1.0,-1.9
18,q_learning,epsilon_greedy,none,6,0,-11.3,-11.3,14,collision,0.6691428571428572,0.16666666666666666,-9.105555555555556,8.88888888888889,0.4568624430062966,0.9137248860125932,63,117,0.0035755299316406245,1.0,-2.71
19,q_learning,epsilon_greedy,none,6,0,-10.2,-10.2,3,collision,3.3966666666666665,0.15789473684210525,-9.163157894736841,8.578947368421053,0.4545781307912651,0.9091562615825302,64,119,0.003741382796223958,1.0,-2.71
20,q_learning,epsilon_greedy,none,6,1,-0.29999999999999893,-0.29999999999999893,5,collision,3.852038,0.2,-8.72,8.4,0.4523052401373088,0.9046104802746175,65,120,0.004054862451171874,1.898209,-2.71
21,q_learning,epsilon_greedy,none,6,1,-2.1999999999999975,-2.1999999999999975,24,collision,0.9914127958333333,0.23809523809523808,-8.40952380952381,9.142857142857142,0.45004371393662224,0.9000874278732445,67,128,0.0043966184586588545,1.8820000000000001,-2.71
