episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,q_learning,epsilon_greedy,potential,6,0,-10.2,-9.93,3,collision,3.3423333333333334,0.0,-10.2,3.0,0.995,0.995,2,2,0.0001631998697916667,0.004699999999999997,-0.9980000000000001
2,q_learning,epsilon_greedy,potential,6,0,-12.8,-11.3,29,collision,0.4280527927944828,0.0,-11.5,16.0,0.990025,0.990025,12,18,0.0003652430174322917,0.014599372449999995,-0.9980000000000001
3,q_learning,epsilon_greedy,potential,6,0,-10.3,-10.229999999999999,4,collision,2.5725,0.0,-11.1,12.0,0.985074875,0.985074875,16,22,0.0005327234861822917,0.014599372449999995,-0.9980000000000001
4,q_learning,epsilon_greedy,potential,6,0,-10.9,-10.86,10,collision,1.0919452150295,0.0,-11.049999999999999,11.5,0.9801495006250001,0.9801495006250001,22,30,0.0007104489443576661,0.014599372449999995,-0.9980000000000001
5,q_learning,epsilon_greedy,potential,6,0,-10.9,-10.760000000000002,10,collision,1.08582,0.0,-11.02,11.2,0.9752487531218751,0.9752487531218751,29,38,0.000887177459982666,0.014599372449999995,-0.9980000000000001
6,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.61,5,collision,2.1184,0.0,-10.916666666666666,10.166666666666666,0.9703725093562657,0.9703725093562657,32,42,0.0010595732933159994,0.014599372449999995,-0.9980000000000001
7,q_learning,epsilon_greedy,potential,6,1,-0.5999999999999979,-0.7200000000000006,8,collision,2.5926611193749998,0.14285714285714285,-9.442857142857141,9.857142857142858,0.9655206468094844,0.9655206468094844,35,48,0.0013971593765679524,1.0010000000000001,-0.9980000000000001
8,q_learning,epsilon_greedy,potential,6,0,-11.0,-10.62,11,collision,0.9903636363636363,0.125,-9.6375,10.0,0.960693043575437,0.960693043575437,38,55,0.0015744705744846193,1.0010000000000001,-0.9980000000000001
9,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.29,5,collision,2.06297232439,0.1111111111111111,-9.722222222222221,9.444444444444445,0.9558895783575597,0.9558895783575597,38,57,0.0017423556920293781,1.0010000000000001,-0.9980000000000001
10,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.34,5,collision,1.8662362,0.1,-9.790000000000001,9.0,0.9511101304657719,0.9511101304657719,38,57,0.0018942303827845866,1.0010000000000001,-1.8886
11,q_learning,epsilon_greedy,potential,6,0,-10.3,-10.35,4,collision,2.56581875,0.09090909090909091,-9.836363636363636,8.545454545454545,0.946354579813443,0.946354579813443,39,59,0.0020612758743210453,1.0010000000000001,-1.8886
12,q_learning,epsilon_greedy,potential,6,0,-10.3,-10.47,4,collision,2.343575875,0.08333333333333333,-9.875,8.166666666666666,0.9416228069143757,0.9416228069143757,39,59,0.002213852428683024,1.0010000000000001,-1.8897
13,q_learning,epsilon_greedy,potential,6,1,-1.5999999999999996,-0.9200000000000017,18,collision,1.1625583943888889,0.15384615384615385,-9.238461538461538,8.923076923076923,0.9369146928798039,0.9369146928798039,42,66,0.0025544457082891437,1.0010000000000001,-1.8897
14,q_learning,epsilon_greedy,potential,6,0,-11.9,-11.21,20,collision,0.536157133,0.14285714285714285,-9.428571428571429,9.714285714285714,0.9322301194154049,0.9322301194154049,45,76,0.0027289760250209147,1.0010000000000001,-1.8897
15,q_learning,epsilon_greedy,potential,6,0,-10.7,-10.19,8,collision,1.3101106938278624,0.13333333333333333,-9.513333333333332,9.6,0.9275689688183278,0.9275689688183278,47,80,0.0028995633549464173,1.0010000000000001,-1.8897
16,q_learning,epsilon_greedy,potential,6,0,-10.7,-10.389999999999999,8,collision,1.3088242946075623,0.125,-9.5875,9.5,0.9229311239742362,0.9229311239742362,50,84,0.003069983184973444,1.0010000000000001,-1.8897
17,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.559999999999999,5,collision,2.102036,0.11764705882352941,-9.63529411764706,9.235294117647058,0.918316468354365,0.918316468354365,51,87,0.0032410473125776104,1.0010000000000001,-1.8897
18,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.58,6,collision,1.77034155,0.1111111111111111,-9.683333333333334,9.055555555555555,0.9137248860125932,0.9137248860125932,54,93,0.0034139322295697982,1.0010000000000001,-1.8897
19,q_learning,epsilon_greedy,potential,6,1,-1.4999999999999982,-0.9299999999999979,17,collision,1.2687080420896766,0.15789473684210525,-9.25263157894737,9.473684210526315,0.9091562615825302,0.9091562615825302,57,103,0.0037649744938198716,1.0010000000000001,-1.8897
