episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,q_learning,epsilon_greedy,simple,6,1,-0.5,-0.4999999999999982,7,collision,2.9,1.0,-0.5,7.0,0.995,0.995,7,7,0.0003304036458333334,0.9900000000000001,-1.0
2,q_learning,epsilon_greedy,simple,6,0,-10.8,-11.0,9,collision,1.22,0.5,-5.65,8.0,0.990025,0.990025,13,15,0.0005091145833333333,0.9900000000000001,-1.0
3,q_learning,epsilon_greedy,simple,6,1,-0.7999999999999972,-1.099999999999996,10,collision,1.97878,0.6666666666666666,-4.033333333333332,8.666666666666666,0.985074875,0.985074875,16,19,0.000831181640625,0.9900000000000001,-1.9
4,q_learning,epsilon_greedy,simple,6,0,-10.5,-10.8,6,collision,1.7966666666666666,0.5,-5.6499999999999995,8.0,0.9801495006250001,0.9801495006250001,19,24,0.0010066373697916666,0.9900000000000001,-1.9
5,q_learning,epsilon_greedy,simple,6,0,-10.6,-10.8,7,collision,1.2587457142857141,0.4,-6.639999999999999,7.8,0.9752487531218751,0.9752487531218751,19,27,0.0011500491536458335,0.9900000000000001,-2.71
6,q_learning,epsilon_greedy,simple,6,1,-0.6999999999999993,-0.4999999999999982,9,collision,2.2464553333333335,0.5,-5.649999999999999,8.0,0.9703725093562657,0.9703725093562657,23,34,0.0014791197591145836,0.9900000000000001,-2.71
7,q_learning,epsilon_greedy,simple,6,0,-10.2,-10.2,3,collision,3.4,0.42857142857142855,-6.299999999999999,7.285714285714286,0.9655206468094844,0.9655206468094844,26,37,0.0016451353841145835,0.9900000000000001,-2.71
8,q_learning,epsilon_greedy,simple,6,1,-7.199999999999994,-6.5000000000000036,74,collision,0.34864984054054055,0.5,-6.412499999999998,15.625,0.960693043575437,0.960693043575437,39,69,0.0020650586946614584,0.9900000000000001,-2.71
9,q_learning,epsilon_greedy,simple,6,0,-10.6,-10.6,7,collision,1.7830000000000001,0.4444444444444444,-6.877777777777776,14.666666666666666,0.9558895783575597,0.9558895783575597,41,75,0.002235973408203125,0.9900000000000001,-2.71
10,q_learning,epsilon_greedy,simple,6,0,-10.4,-10.6,5,collision,2.116,0.4,-7.229999999999999,13.7,0.9511101304657719,0.9511101304657719,42,78,0.0024081739290364584,0.9900000000000001,-2.71
11,q_learning,epsilon_greedy,simple,6,0,-10.3,-10.6,4,collision,2.62645,0.36363636363636365,-7.509090909090907,12.818181818181818,0.946354579813443,0.946354579813443,43,79,0.0025791667675781255,0.9900000000000001,-2.71
12,q_learning,epsilon_greedy,simple,6,1,-0.6999999999999975,-0.09999999999999964,9,collision,2.2111111111111112,0.4166666666666667,-6.9416666666666655,12.5,0.9416228069143757,0.9416228069143757,44,80,0.0029030599967447917,0.9900000000000001,-2.71
13,q_learning,epsilon_greedy,simple,6,0,-10.5,-10.8,6,collision,1.59724323,0.38461538461538464,-7.215384615384614,12.0,0.9369146928798039,0.9369146928798039,44,80,0.003059040780924479,0.9900000000000001,-2.71
14,q_learning,epsilon_greedy,simple,6,0,-10.8,-11.0,9,collision,1.3167777777777778,0.35714285714285715,-7.47142857142857,11.785714285714286,0.9322301194154049,0.9322301194154049,47,84,0.0032519281507161456,0.9900000000000001,-2.71
15,q_learning,epsilon_greedy,simple,6,0,-10.6,-10.8,7,collision,1.8115714285714286,0.3333333333333333,-7.679999999999998,11.466666666666667,0.9275689688183278,0.9275689688183278,51,89,0.003426098072591146,0.9900000000000001,-2.71
16,q_learning,epsilon_greedy,simple,6,0,-10.5,-10.2,6,collision,1.8171001666666666,0.3125,-7.856249999999999,11.125,0.9229311239742362,0.9229311239742362,53,92,0.0036032592216796878,0.9900000000000001,-2.71
17,q_learning,epsilon_greedy,simple,6,0,-10.3,-10.4,4,collision,2.6,0.29411764705882354,-8.0,10.705882352941176,0.918316468354365,0.918316468354365,56,95,0.003772530055013021,0.9900000000000001,-2.71
18,q_learning,epsilon_greedy,simple,6,0,-10.5,-10.2,6,collision,1.549436715,0.2777777777777778,-8.13888888888889,10.444444444444445,0.9137248860125932,0.9137248860125932,56,95,0.00392384223421224,0.9900000000000001,-2.71
19,q_learning,epsilon_greedy,simple,6,0,-11.4,-11.4,15,collision,0.8201013153333333,0.2631578947368421,-8.310526315789474,10.68421052631579,0.9091562615825302,0.9091562615825302,58,98,0.004123772242838542,0.9900000000000001,-2.71
20,q_learning,epsilon_greedy,simple,6,0,-10.3,-10.4,4,collision,2.599243225,0.25,-8.41,10.35,0.9046104802746175,0.9046104802746175,58,99,0.004292993806966146,0.9900000000000001,-2.71
21,q_learning,epsilon_greedy,simple,6,0,-10.5,-10.6,6,collision,1.75915430435,0.23809523809523808,-8.50952380952381,10.142857142857142,0.9000874278732445,0.9000874278732445,59,102,0.004464786219500326,0.9900000000000001,-2.71
22,q_learning,epsilon_greedy,simple,6,1,-0.29999999999999893,-0.09999999999999964,5,collision,4.04322484322,0.2727272727272727,-8.136363636363638,9.909090909090908,0.8955869907338783,0.8955869907338783,60,104,0.00478816258600586,0.9912925826100001,-2.71
23,q_learning,epsilon_greedy,simple,6,0,-11.2,-11.8,13,collision,0.9475102163769231,0.2608695652173913,-8.269565217391305,10.043478260869565,0.8911090557802088,0.8911090557802088,64,111,0.00498864489090332,0.9912925826100001,-2.71
24,q_learning,epsilon_greedy,simple,6,0,-11.700000000000001,-11.8,18,collision,0.6840751693838889,0.25,-8.4125,10.375,0.8866535105013078,0.8866535105013078,65,116,0.005188850088798991,0.9912925826100001,-2.71
25,q_learning,epsilon_greedy,simple,6,0,-10.6,-10.4,7,collision,1.4828571428571429,0.24,-8.499999999999998,10.24,0.8822202429488013,0.8822202429488013,68,120,0.005357795401298992,0.9912925826100001,-2.71
26,q_learning,epsilon_greedy,simple,6,0,-10.3,-10.4,4,collision,2.57510393631025,0.23076923076923078,-8.569230769230769,10.0,0.8778091417340573,0.8778091417340573,68,121,0.005525445397152523,0.9912925826100001,-2.71
27,q_learning,epsilon_greedy,simple,6,0,-10.2,-10.4,3,collision,3.453333333333333,0.2222222222222222,-8.629629629629628,9.74074074074074,0.8734200960253871,0.8734200960253871,68,122,0.00569406518881919,0.9912925826100001,-2.71
28,q_learning,epsilon_greedy,simple,6,0,-10.6,-11.0,7,collision,1.6747377606212857,0.21428571428571427,-8.7,9.642857142857142,0.8690529955452602,0.8690529955452602,69,125,0.005884871899827474,0.9912925826100001,-2.71
29,q_learning,epsilon_greedy,simple,6,0,-11.1,-11.0,12,collision,1.1445973505798521,0.20689655172413793,-8.782758620689654,9.724137931034482,0.8647077305675338,0.8647077305675338,70,128,0.006076199507362601,0.9912925826100001,-2.71
30,q_learning,epsilon_greedy,simple,6,0,-10.7,-11.2,8,collision,1.340315365036,0.2,-8.846666666666666,9.666666666666666,0.8603841919146962,0.8603841919146962,72,131,0.006250413267198669,0.9912925826100001,-2.71
31,q_learning,epsilon_greedy,simple,6,0,-10.5,-10.2,6,collision,1.527531897613065,0.1935483870967742,-8.899999999999999,9.548387096774194,0.8560822709551227,0.8560822709551227,72,131,0.006396153369020589,0.9912925826100001,-2.71
32,q_learning,epsilon_greedy,simple,6,0,-11.0,-11.6,11,collision,1.121890909090909,0.1875,-8.965625000000001,9.59375,0.851801859600347,0.851801859600347,72,136,0.006568008837770589,0.9912925826100001,-2.71
33,q_learning,epsilon_greedy,simple,6,0,-10.6,-10.4,7,collision,1.4828571428571429,0.18181818181818182,-9.015151515151517,9.515151515151516,0.8475428503023453,0.8475428503023453,73,141,0.00673695415027059,0.9912925826100001,-2.71
34,q_learning,epsilon_greedy,simple,6,0,-10.3,-10.6,4,collision,2.334303363618275,0.17647058823529413,-9.05294117647059,9.352941176470589,0.8433051360508336,0.8433051360508336,73,142,0.006888927025506153,0.9912925826100001,-2.71
35,q_learning,epsilon_greedy,simple,6,1,-0.5,-0.29999999999999893,7,collision,2.8697206699685713,0.2,-8.808571428571431,9.285714285714286,0.8390886103705794,0.8390886103705794,73,143,0.0072153587102714535,0.9912925826100001,-2.71
36,q_learning,epsilon_greedy,simple,6,0,-10.9,-11.0,10,collision,1.09757215821659,0.19444444444444445,-8.866666666666667,9.305555555555555,0.8348931673187264,0.8348931673187264,73,147,0.007393537173239323,0.9912925826100001,-2.71
37,q_learning,epsilon_greedy,simple,6,0,-10.3,-10.0,4,collision,2.3200292174989277,0.1891891891891892,-8.905405405405407,9.162162162162161,0.8307187014821328,0.8307187014821328,73,147,0.007539586248324227,0.9912925826100001,-2.71
38,q_learning,epsilon_greedy,simple,6,0,-11.0,-11.2,11,collision,0.9451674385176789,0.18421052631578946,-8.960526315789474,9.210526315789474,0.8265651079747222,0.8265651079747222,74,149,0.007707992922119829,0.9912925826100001,-2.71
39,q_learning,epsilon_greedy,simple,6,1,-1.3999999999999968,-1.2999999999999954,16,collision,1.4524467559259002,0.20512820512820512,-8.766666666666667,9.384615384615385,0.8224322824348486,0.8224322824348486,75,154,0.0080499250473157,0.9912925826100001,-2.71
40,q_learning,epsilon_greedy,simple,6,0,-10.8,-10.8,9,collision,1.161824064204925,0.2,-8.8175,9.375,0.8183201210226743,0.8183201210226743,76,155,0.00821745693160174,0.9912925826100001,-2.71
41,q_learning,epsilon_greedy,simple,6,0,-10.2,-10.2,3,collision,3.328329241964817,0.1951219512195122,-8.851219512195122,9.21951219512195,0.8142285204175609,0.8142285204175609,76,155,0.008379973007869555,0.9912925826100001,-2.71
42,q_learning,epsilon_greedy,simple,6,0,-10.8,-10.8,9,collision,1.19779853506843,0.19047619047619047,-8.897619047619049,9.214285714285714,0.810157377815473,0.810157377815473,78,158,0.008552527600166854,0.9912925826100001,-2.71
43,q_learning,epsilon_greedy,simple,6,1,-1.0,-0.7999999999999989,12,collision,1.6314350981932881,0.20930232558139536,-8.713953488372095,9.279069767441861,0.8061065909263957,0.8061065909263957,79,160,0.008868335122528338,1.8019000000000003,-2.71
