episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,q_learning,softmax,none,6,0,-10.8,-10.8,9,collision,1.198888888888889,0.0,-10.8,9.0,0.995,0.995,7,8,0.00017561848958333332,0.0,-1.0
2,q_learning,softmax,none,6,0,-10.2,-10.2,3,collision,3.3966666666666665,0.0,-10.5,6.0,0.990025,0.990025,9,10,0.0003414713541666666,0.0,-1.0
3,q_learning,softmax,none,6,0,-10.4,-10.4,5,collision,2.0742,0.0,-10.466666666666667,5.666666666666667,0.985074875,0.985074875,11,13,0.0005102701822916666,0.0,-1.0
4,q_learning,softmax,none,6,1,-0.09999999999999964,-0.09999999999999964,3,collision,6.7,0.25,-7.875,5.0,0.9801495006250001,0.9801495006250001,14,16,0.0008374186197916666,1.0,-1.0
5,q_learning,softmax,none,6,0,-11.4,-11.4,15,collision,0.7586666666666667,0.2,-8.58,7.0,0.9752487531218751,0.9752487531218751,23,29,0.0010226399739583331,1.0,-1.0
6,q_learning,softmax,none,6,0,-10.9,-10.9,10,collision,0.9841,0.16666666666666666,-8.966666666666667,7.5,0.9703725093562657,0.9703725093562657,24,33,0.0011828124999999998,1.0,-1.9
7,q_learning,softmax,none,6,0,-10.3,-10.3,4,collision,2.575,0.14285714285714285,-9.157142857142857,7.0,0.9655206468094844,0.9655206468094844,27,37,0.0013504557291666667,1.0,-1.9
8,q_learning,softmax,none,6,0,-12.100000000000001,-12.100000000000001,22,collision,0.5450863636363636,0.125,-9.525,8.875,0.960693043575437,0.960693043575437,33,49,0.0015456363932291666,1.0,-1.9
9,q_learning,softmax,none,6,0,-11.0,-11.0,11,collision,0.9946281818181818,0.1111111111111111,-9.68888888888889,9.11111111111111,0.9558895783575597,0.9558895783575597,35,55,0.0017237111002604167,1.0,-1.9
10,q_learning,softmax,none,6,0,-10.6,-10.6,7,collision,1.512857142857143,0.1,-9.78,8.9,0.9511101304657719,0.9511101304657719,39,61,0.0018960743815104166,1.0,-1.9
11,q_learning,softmax,none,6,0,-11.2,-11.2,13,collision,0.8563076923076923,0.09090909090909091,-9.909090909090908,9.272727272727273,0.946354579813443,0.946354579813443,43,69,0.0020772592773437497,1.0,-1.9
12,q_learning,softmax,none,6,0,-10.9,-10.9,10,collision,1.0793,0.08333333333333333,-9.991666666666667,9.333333333333334,0.9416228069143757,0.9416228069143757,44,71,0.0022529265950520833,1.0,-1.9
