episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,q_learning,ucb,none,6,0,-10.3,-10.3,4,collision,2.575,0.0,-10.3,4.0,0.995,0.995,4,4,0.00016764322916666666,0.0,-1.0
2,q_learning,ucb,none,6,0,-12.4,-12.4,25,collision,0.49576,0.0,-11.350000000000001,14.5,0.990025,0.990025,13,23,0.00036936848958333326,0.0,-1.0
3,q_learning,ucb,none,6,0,-12.4,-12.4,25,collision,0.493962436,0.0,-11.700000000000001,18.0,0.985074875,0.985074875,17,30,0.0005703623193359375,0.0,-1.0
4,q_learning,ucb,none,6,0,-10.3,-10.3,4,collision,2.575,0.0,-11.350000000000001,14.5,0.9801495006250001,0.9801495006250001,20,34,0.000738005548502604,0.0,-1.0
5,q_learning,ucb,none,6,0,-10.6,-10.6,7,collision,1.5123687728571429,0.0,-11.200000000000001,13.0,0.9752487531218751,0.9752487531218751,22,37,0.0009103131886393229,0.0,-1.0
6,q_learning,ucb,none,6,0,-10.4,-10.4,5,collision,2.08,0.0,-11.066666666666668,11.666666666666666,0.9703725093562657,0.9703725093562657,25,42,0.001079584021972656,0.0,-1.0
7,q_learning,ucb,none,6,0,-11.6,-11.6,17,collision,0.6813817647058824,0.0,-11.142857142857142,12.428571428571429,0.9655206468094844,0.9655206468094844,31,55,0.0012681173878580727,0.0,-1.0
8,q_learning,ucb,none,6,0,-11.5,-11.5,16,collision,0.7179375,0.0,-11.1875,12.875,0.960693043575437,0.960693043575437,35,67,0.0014550802784830726,0.0,-1.0
9,q_learning,ucb,none,6,0,-10.7,-10.7,8,collision,1.33053678025,0.0,-11.133333333333333,12.333333333333334,0.9558895783575597,0.9558895783575597,37,69,0.0016283272550781248,0.0,-1.0
10,q_learning,ucb,none,6,0,-10.7,-10.7,8,collision,1.3358875,0.0,-11.09,11.9,0.9511101304657719,0.9511101304657719,40,74,0.001802270939973958,0.0,-1.0
11,q_learning,ucb,none,6,0,-10.9,-10.9,10,collision,1.09,0.0,-11.072727272727274,11.727272727272727,0.946354579813443,0.946354579813443,45,84,0.001979679794140625,0.0,-1.0
12,q_learning,ucb,none,6,1,-1.8000000000000007,-1.8000000000000007,20,collision,1.08911,0.08333333333333333,-10.3,12.416666666666666,0.9416228069143757,0.9416228069143757,48,97,0.002334207788932292,1.0,-1.0
13,q_learning,ucb,none,6,0,-10.5,-10.5,6,collision,1.748,0.07692307692307693,-10.315384615384618,11.923076923076923,0.9369146928798039,0.9369146928798039,49,100,0.0025049109139322918,1.0,-1.0
14,q_learning,ucb,none,6,0,-10.6,-10.6,7,collision,1.5121571428571428,0.07142857142857142,-10.335714285714287,11.571428571428571,0.9322301194154049,0.9322301194154049,50,102,0.0026771944425781256,1.0,-1.0
15,q_learning,ucb,none,6,0,-10.9,-10.9,10,collision,1.087132,0.06666666666666667,-10.373333333333335,11.466666666666667,0.9275689688183278,0.9275689688183278,51,106,0.0028541364998697916,1.0,-1.0
16,q_learning,ucb,none,6,1,-1.3999999999999968,-1.3999999999999968,16,collision,1.3332761875,0.125,-9.8125,11.75,0.9229311239742362,0.9229311239742362,54,113,0.0032013438403645836,1.0,-1.0
17,q_learning,ucb,none,6,1,-0.29999999999999893,-0.29999999999999893,5,collision,4.0549058,0.17647058823529413,-9.25294117647059,11.352941176470589,0.918316468354365,0.918316468354365,56,115,0.003528077710807291,1.0,-1.0
18,q_learning,ucb,none,6,1,-0.29999999999999893,-0.29999999999999893,5,collision,3.9904776379999998,0.2222222222222222,-8.755555555555556,11.0,0.9137248860125932,0.9137248860125932,56,116,0.0038495684040039065,1.8951391,-1.0
19,q_learning,ucb,none,6,0,-10.6,-10.6,7,collision,1.5142857142857142,0.21052631578947367,-8.852631578947369,10.789473684210526,0.9091562615825302,0.9091562615825302,59,123,0.004022094445670573,1.8951391,-1.0
20,q_learning,ucb,none,6,1,-0.29999999999999893,-0.29999999999999893,5,collision,4.0598,0.25,-8.425,10.5,0.9046104802746175,0.9046104802746175,61,127,0.0043524818154622395,1.8951391,-1.0
21,q_learning,ucb,none,6,0,-11.6,-11.6,17,collision,0.6792934705882353,0.23809523809523808,-8.576190476190478,10.80952380952381,0.9000874278732445,0.9000874278732445,64,135,0.004540437365592447,1.8951391,-1.0
22,q_learning,ucb,none,6,0,-10.8,-10.8,9,collision,1.2772674555555557,0.22727272727272727,-8.67727272727273,10.727272727272727,0.8955869907338783,0.8955869907338783,65,140,0.00472428188219401,1.8951391,-1.0
23,q_learning,ucb,none,6,0,-10.4,-10.4,5,collision,2.076698,0.21739130434782608,-8.75217391304348,10.478260869565217,0.8911090557802088,0.8911090557802088,65,141,0.004893283998079426,1.8951391,-1.0
24,q_learning,ucb,none,6,0,-11.8,-11.8,19,collision,0.6050435225157895,0.20833333333333334,-8.879166666666666,10.833333333333334,0.8866535105013078,0.8866535105013078,67,149,0.005080390556149088,1.8951391,-1.0
25,q_learning,ucb,none,6,0,-10.4,-10.4,5,collision,2.071318342,0.2,-8.94,10.6,0.8822202429488013,0.8822202429488013,67,151,0.005248954874345703,1.8951391,-1.0
