episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,sarsa,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.08,0.0,-10.4,5.0,0.995,0.995,4,5,0.00016927083333333334,0.0,-1.0
2,sarsa,epsilon_greedy,none,6,0,-11.1,-11.1,12,collision,0.9241666666666667,0.0,-10.75,8.5,0.990025,0.990025,13,16,0.0003497721354166667,0.0,-1.0
3,sarsa,epsilon_greedy,none,6,1,-1.0999999999999979,-1.0999999999999979,13,collision,1.6222307692307691,0.3333333333333333,-7.533333333333332,10.0,0.985074875,0.985074875,22,27,0.000693017578125,1.0,-1.0
4,sarsa,epsilon_greedy,none,6,1,-1.1999999999999993,-1.1999999999999993,14,collision,1.5155714285714286,0.5,-5.949999999999999,11.0,0.9801495006250001,0.9801495006250001,30,39,0.001035107421875,1.0,-1.0
5,sarsa,epsilon_greedy,none,6,1,-0.5999999999999979,-0.5999999999999979,8,collision,2.5262375,0.6,-4.879999999999999,10.4,0.9752487531218751,0.9752487531218751,34,43,0.0013607893880208334,1.8919000000000001,-1.9
6,sarsa,epsilon_greedy,none,6,1,-0.4999999999999982,-0.4999999999999982,7,collision,2.930459857142857,0.6666666666666666,-4.149999999999999,9.833333333333334,0.9703725093562657,0.9703725093562657,36,46,0.0016858681477864585,1.8919000000000001,-1.9
7,sarsa,epsilon_greedy,none,6,0,-10.7,-10.7,8,collision,1.333875,0.5714285714285714,-5.0857142857142845,9.571428571428571,0.9655206468094844,0.9655206468094844,40,52,0.0018595497884114586,1.8919000000000001,-1.9
8,sarsa,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.0778,0.5,-5.749999999999999,9.0,0.960693043575437,0.960693043575437,42,55,0.002028641585286458,1.8919000000000001,-1.9
9,sarsa,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.1971122222222221,0.4444444444444444,-6.311111111111111,9.0,0.9558895783575597,0.9558895783575597,42,57,0.0022037068522135416,1.8919000000000001,-1.9
10,sarsa,epsilon_greedy,none,6,1,-0.40000000000000036,-0.40000000000000036,6,collision,3.6865170816666666,0.5,-5.72,8.7,0.9511101304657719,0.9511101304657719,43,59,0.0025190893797200522,1.8919000000000001,-1.9
11,sarsa,epsilon_greedy,none,6,0,-11.700000000000001,-11.700000000000001,18,collision,0.8373520180055556,0.45454545454545453,-6.263636363636363,9.545454545454545,0.946354579813443,0.946354579813443,46,67,0.0026906869435888666,1.691729,-1.9
12,sarsa,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.1973806777777778,0.4166666666666667,-6.641666666666666,9.5,0.9416228069143757,0.9416228069143757,50,74,0.002866084503810222,1.691729,-1.9
13,sarsa,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.077058,0.38461538461538464,-6.93076923076923,9.153846153846153,0.9369146928798039,0.9369146928798039,51,75,0.003035115916570638,1.691729,-1.9
14,sarsa,epsilon_greedy,none,6,0,-10.9,-10.9,10,collision,1.405525261,0.35714285714285715,-7.214285714285714,9.214285714285714,0.9322301194154049,0.9322301194154049,52,79,0.0031856863167985024,1.5125561,-1.9
15,sarsa,epsilon_greedy,none,6,0,-10.2,-10.2,3,collision,3.4,0.3333333333333333,-7.413333333333333,8.8,0.9275689688183278,0.9275689688183278,53,82,0.0033517019417985024,1.5125561,-1.9
16,sarsa,epsilon_greedy,none,6,1,-1.1999999999999975,-1.1999999999999975,14,collision,1.4761803482785714,0.375,-7.025,9.125,0.9229311239742362,0.9229311239742362,57,88,0.0036853954353873696,1.8997016851000001,-1.9
17,sarsa,epsilon_greedy,none,6,2,9.099999999999998,9.099999999999998,12,collision,2.7870080040425,0.47058823529411764,-6.076470588235295,9.294117647058824,0.918316468354365,0.918316468354365,59,92,0.004163049404275879,1.9,-1.9
18,sarsa,epsilon_greedy,none,6,0,-11.4,-11.4,15,collision,0.75871129146166,0.4444444444444444,-6.372222222222224,9.61111111111111,0.9137248860125932,0.9137248860125932,62,98,0.004348281653167886,1.9,-1.9
19,sarsa,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.56404693452,0.42105263157894735,-6.578947368421053,9.31578947368421,0.9091562615825302,0.9091562615825302,63,100,0.004515211792134032,1.9,-1.9
20,sarsa,epsilon_greedy,none,6,0,-10.6,-10.6,7,collision,1.5103118200605856,0.4,-6.780000000000001,9.2,0.9046104802746175,0.9046104802746175,64,103,0.004687285078924789,1.9,-1.9
21,sarsa,epsilon_greedy,none,6,0,-10.2,-10.2,3,collision,3.3903333333333334,0.38095238095238093,-6.942857142857143,8.904761904761905,0.9000874278732445,0.9000874278732445,64,104,0.004847262292466455,1.9,-1.9
22,sarsa,epsilon_greedy,none,6,0,-11.0,-11.0,11,collision,1.0014789614190909,0.36363636363636365,-7.127272727272728,9.0,0.8955869907338783,0.8955869907338783,65,110,0.005016248036177556,1.9,-1.9
23,sarsa,epsilon_greedy,none,6,1,-0.3000000000000007,-0.3000000000000007,5,collision,4.0596,0.391304347826087,-6.830434782608696,8.826086956521738,0.8911090557802088,0.8911090557802088,65,113,0.005346619129927555,1.9,-1.9
24,sarsa,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.0515400017416,0.375,-6.979166666666667,8.666666666666666,0.8866535105013078,0.8866535105013078,65,113,0.005513573882673453,1.9,-1.9
25,sarsa,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.1996397777777779,0.36,-7.132000000000001,8.68,0.8822202429488013,0.8822202429488013,69,120,0.005689302365746371,1.9,-1.9
26,sarsa,epsilon_greedy,none,6,0,-10.2,-10.2,3,collision,3.393666666666667,0.34615384615384615,-7.25,8.461538461538462,0.8778091417340573,0.8778091417340573,69,122,0.0058550087459547035,1.9,-1.9
27,sarsa,epsilon_greedy,none,6,1,-0.40000000000000036,-0.40000000000000036,6,collision,3.41254055873,0.37037037037037035,-6.996296296296297,8.37037037037037,0.8734200960253871,0.8734200960253871,71,125,0.006176049707016227,1.9,-1.9
28,sarsa,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7391529742589484,0.35714285714285715,-7.121428571428572,8.285714285714286,0.8690529955452602,0.8690529955452602,71,127,0.006345888864658702,1.9,-1.9
29,sarsa,epsilon_greedy,none,6,1,-1.0999999999999996,-1.0999999999999996,13,collision,1.5757328433191538,0.3793103448275862,-6.913793103448276,8.448275862068966,0.8647077305675338,0.8647077305675338,73,134,0.0066792958790328726,1.9,-1.9
30,sarsa,epsilon_greedy,none,6,1,-1.1999999999999993,-1.1999999999999993,14,collision,1.6936313818048974,0.4,-6.723333333333333,8.633333333333333,0.8603841919146962,0.8603841919146962,73,136,0.006986387805580571,1.9,-1.9
31,sarsa,epsilon_greedy,none,6,0,-10.9,-10.9,10,collision,1.1410946688396193,0.3870967741935484,-6.858064516129032,8.67741935483871,0.8560822709551227,0.8560822709551227,74,138,0.007137794044501741,1.9,-1.9
32,sarsa,epsilon_greedy,none,6,0,-10.9,-10.9,10,collision,1.100777153681521,0.375,-6.984375,8.71875,0.851801859600347,0.851801859600347,75,139,0.0073005623075744095,1.9,-1.9
33,sarsa,epsilon_greedy,none,6,0,-10.2,-10.2,3,collision,3.366303333333333,0.36363636363636365,-7.081818181818181,8.545454545454545,0.8475428503023453,0.8475428503023453,75,140,0.007464932587522326,1.9,-1.9
34,sarsa,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.079160098,0.35294117647058826,-7.179411764705883,8.441176470588236,0.8433051360508336,0.8433051360508336,76,143,0.0076341350694559195,1.9,-1.9
35,sarsa,epsilon_greedy,none,6,1,-0.9999999999999982,-0.9999999999999982,12,collision,1.759413731861075,0.37142857142857144,-7.002857142857143,8.542857142857143,0.8390886103705794,0.8390886103705794,78,147,0.007964446297549435,1.9,-1.9
36,sarsa,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.499261525,0.3611111111111111,-7.094444444444445,8.416666666666666,0.8348931673187264,0.8348931673187264,78,147,0.008127158636416621,1.9,-2.71
37,sarsa,epsilon_greedy,none,6,2,7.199999999999967,7.199999999999967,31,collision,1.0967250403547404,0.40540540540540543,-6.708108108108109,9.027027027027026,0.8307187014821328,0.8307187014821328,82,156,0.008631133477488987,2.70713861659,-2.71
38,sarsa,epsilon_greedy,none,6,1,-0.3000000000000007,-0.3000000000000007,5,collision,3.9621337267602823,0.42105263157894735,-6.539473684210527,8.921052631578947,0.8265651079747222,0.8265651079747222,82,157,0.00895059436413601,2.70713861659,-2.71
39,sarsa,epsilon_greedy,none,6,1,-1.2999999999999972,-1.2999999999999972,15,collision,1.4270338308122759,0.4358974358974359,-6.405128205128207,9.076923076923077,0.8224322824348486,0.8224322824348486,84,161,0.009276636813323821,2.70713861659,-2.71
40,sarsa,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.73285,0.425,-6.5075,9.0,0.8183201210226743,0.8183201210226743,84,164,0.009445860446136321,2.70713861659,-2.71
41,sarsa,epsilon_greedy,none,6,0,-11.4,-11.4,15,collision,0.7567006922102347,0.4146341463414634,-6.626829268292683,9.146341463414634,0.8142285204175609,0.8142285204175609,84,166,0.00963060182607046,2.70713861659,-2.71
42,sarsa,epsilon_greedy,none,6,0,-11.2,-11.2,13,collision,0.8591464286834741,0.40476190476190477,-6.735714285714285,9.238095238095237,0.810157377815473,0.810157377815473,85,172,0.009812387365993722,2.70713861659,-2.71
43,sarsa,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.403164879215534,0.3953488372093023,-6.830232558139534,9.232558139534884,0.8061065909263957,0.8061065909263957,85,173,0.009968033479961376,2.70713861659,-2.71
44,sarsa,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.9937557248616227,0.38636363636363635,-6.913636363636363,9.159090909090908,0.8020760579717637,0.8020760579717637,86,174,0.010121095291100038,2.70713861659,-2.71
45,sarsa,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.516997701725,0.37777777777777777,-6.988888888888889,9.044444444444444,0.798065677681905,0.798065677681905,86,175,0.010284962328972759,2.70713861659,-2.71
46,sarsa,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7561900534944102,0.3695652173913043,-7.065217391304348,8.978260869565217,0.7940753492934954,0.7940753492934954,87,177,0.010451504220906573,2.70713861659,-2.71
47,sarsa,epsilon_greedy,none,6,1,-0.3000000000000007,-0.3000000000000007,5,collision,3.6734443036399997,0.3829787234042553,-6.921276595744681,8.893617021276595,0.7901049725470279,0.7901049725470279,87,178,0.010750449883637693,2.70713861659,-2.71
48,sarsa,epsilon_greedy,none,6,1,-0.5999999999999996,-0.5999999999999996,8,collision,2.618966761609255,0.3958333333333333,-6.789583333333333,8.875,0.7861544476842928,0.7861544476842928,87,180,0.011062127093776852,2.70713861659,-2.71
49,sarsa,epsilon_greedy,none,6,1,-1.4999999999999982,-1.4999999999999982,17,collision,1.2417914547149889,0.40816326530612246,-6.681632653061224,9.040816326530612,0.7822236754458713,0.7822236754458713,88,184,0.011400404018622795,2.70713861659,-2.71
50,sarsa,epsilon_greedy,none,6,1,-1.0999999999999996,-1.0999999999999996,13,collision,1.8172431303984489,0.42,-6.57,9.12,0.778312557068642,0.778312557068642,88,185,0.011713645644104142,2.70713861659,-2.71
51,sarsa,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.035458622425508,0.4117647058823529,-6.645098039215686,9.03921568627451,0.7744209942832988,0.7744209942832988,88,185,0.01187929169085101,2.70713861659,-2.71
52,sarsa,epsilon_greedy,none,6,0,-11.2,-11.2,13,collision,0.9361168577500559,0.40384615384615385,-6.732692307692307,9.115384615384615,0.7705488893118823,0.7705488893118823,89,188,0.012038901028452712,2.70713861659,-2.71
53,sarsa,epsilon_greedy,none,6,1,-0.5999999999999979,-0.5999999999999979,8,collision,2.51660706076375,0.41509433962264153,-6.6169811320754715,9.09433962264151,0.7666961448653229,0.7666961448653229,90,190,0.01236303606240633,2.70713861659,-2.71
54,sarsa,epsilon_greedy,none,6,2,9.700000000000003,9.700000000000003,6,collision,4.90847503938183,0.4444444444444444,-6.314814814814815,9.037037037037036,0.7628626641409962,0.7628626641409962,91,192,0.012842379327970959,2.70713861659,-2.71
55,sarsa,epsilon_greedy,none,6,1,-0.29999999999999893,-0.29999999999999893,5,collision,3.6374595662,0.45454545454545453,-6.205454545454546,8.963636363636363,0.7590483508202912,0.7590483508202912,91,193,0.013138396545272388,2.70713861659,-2.71
56,sarsa,epsilon_greedy,none,6,1,-0.29999999999999893,-0.29999999999999893,5,collision,3.5152084929944203,0.4642857142857143,-6.1000000000000005,8.892857142857142,0.7552531090661897,0.7552531090661897,91,193,0.013415685088596738,3.432454044931,-2.71
57,sarsa,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.622400734683512,0.45614035087719296,-6.175438596491228,8.824561403508772,0.7514768435208588,0.7514768435208588,91,194,0.013529614943787663,3.432454044931,-2.71
58,sarsa,epsilon_greedy,none,6,0,-11.0,-11.0,11,collision,1.038908174366411,0.4482758620689655,-6.258620689655173,8.862068965517242,0.7477194593032545,0.7477194593032545,92,196,0.01368778463784632,3.432454044931,-2.71
59,sarsa,epsilon_greedy,none,6,0,-10.7,-10.7,8,collision,1.3359779860331376,0.4406779661016949,-6.3338983050847455,8.847457627118644,0.7439808620067382,0.7439808620067382,93,197,0.01385960700685526,3.432454044931,-2.71
60,sarsa,epsilon_greedy,none,6,0,-11.9,-11.9,20,collision,0.6100141337430826,0.43333333333333335,-6.426666666666666,9.033333333333333,0.7402609576967045,0.7402609576967045,93,199,0.014027296894843154,3.432454044931,-2.71
61,sarsa,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7713046351435862,0.4262295081967213,-6.493442622950819,8.98360655737705,0.736559652908221,0.736559652908221,93,200,0.014189213759900747,3.432454044931,-2.71
62,sarsa,epsilon_greedy,none,6,1,-0.29999999999999893,-0.29999999999999893,5,collision,3.988516953851174,0.43548387096774194,-6.393548387096774,8.919354838709678,0.7328768546436799,0.7328768546436799,93,200,0.014509136997222621,3.432454044931,-2.71
63,sarsa,epsilon_greedy,none,6,0,-10.9,-10.9,10,collision,1.1087043534166674,0.42857142857142855,-6.465079365079364,8.936507936507937,0.7292124703704616,0.7292124703704616,93,200,0.014644175719382835,3.432454044931,-2.71
64,sarsa,epsilon_greedy,none,6,0,-11.0,-11.0,11,collision,1.4547218556851877,0.421875,-6.535937500000001,8.96875,0.7255664080186093,0.7255664080186093,93,202,0.014786576242325626,3.432454044931,-2.71
65,sarsa,epsilon_greedy,none,6,0,-10.9,-10.9,10,collision,1.083077619069,0.4153846153846154,-6.603076923076924,8.984615384615385,0.7219385759785162,0.7219385759785162,93,205,0.014961535637333927,3.432454044931,-2.71
66,sarsa,epsilon_greedy,none,6,2,9.399999999999999,9.399999999999999,9,collision,3.241667959227703,0.4393939393939394,-6.360606060606061,8.984848484848484,0.7183288830986236,0.7183288830986236,93,205,0.015423138336462,3.432454044931,-2.71
67,sarsa,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.7456966089862,0.43283582089552236,-6.420895522388061,8.925373134328359,0.7147372386831305,0.7147372386831305,93,206,0.015531594960079659,3.17889834252841,-2.71
68,sarsa,epsilon_greedy,none,6,1,-0.29999999999999893,-0.29999999999999893,5,collision,3.8811540399708724,0.4411764705882353,-6.3308823529411775,8.867647058823529,0.7111635524897149,0.7111635524897149,93,206,0.015847444084426246,3.17889834252841,-3.439
69,sarsa,epsilon_greedy,none,6,0,-11.3,-11.3,14,collision,0.8056428204211179,0.43478260869565216,-6.402898550724639,8.942028985507246,0.7076077347272662,0.7076077347272662,93,210,0.016030275007577265,3.17889834252841,-3.439
70,sarsa,epsilon_greedy,none,6,0,-12.600000000000001,-12.600000000000001,27,collision,0.738519526051148,0.42857142857142855,-6.491428571428573,9.2,0.7040696960536299,0.7040696960536299,95,215,0.016196538371860417,3.0792086404379,-3.439
71,sarsa,epsilon_greedy,none,6,0,-11.0,-11.0,11,collision,0.9933846663760465,0.4225352112676056,-6.55492957746479,9.225352112676056,0.7005493475733617,0.7005493475733617,95,216,0.01636403409283941,3.0792086404379,-3.439
72,sarsa,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.07472522,0.4166666666666667,-6.608333333333333,9.166666666666666,0.697046600835495,0.697046600835495,96,218,0.016532875663477428,3.0792086404379,-3.439
73,sarsa,epsilon_greedy,none,6,0,-11.4,-11.4,15,collision,1.096233023543006,0.410958904109589,-6.673972602739726,9.246575342465754,0.6935613678313175,0.6935613678313175,96,218,0.016680098062353797,3.0792086404379,-3.439
74,sarsa,epsilon_greedy,none,6,2,9.399999999999999,9.399999999999999,9,collision,3.372373232301324,0.43243243243243246,-6.456756756756757,9.243243243243244,0.6900935609921609,0.6900935609921609,96,218,0.017147857588307707,3.0792086404379,-3.439
75,sarsa,epsilon_greedy,none,6,0,-10.6,-10.6,7,collision,1.4693134670589523,0.4266666666666667,-6.5120000000000005,9.213333333333333,0.6866430931872001,0.6866430931872001,96,218,0.01731457616398174,3.0792086404379,-3.439
76,sarsa,epsilon_greedy,none,6,1,-0.40000000000000036,-0.40000000000000036,6,collision,3.544196961400093,0.4342105263157895,-6.431578947368421,9.171052631578947,0.6832098777212641,0.6832098777212641,96,219,0.017561671404060036,3.0792086404379,-3.439
77,sarsa,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.0004851718,0.42857142857142855,-6.483116883116883,9.116883116883116,0.6797938283326578,0.6797938283326578,96,219,0.017724471304108865,3.0792086404379,-4.0951
78,sarsa,epsilon_greedy,none,6,1,-1.0999999999999996,-1.0999999999999996,13,collision,2.076592783335804,0.4358974358974359,-6.414102564102564,9.166666666666666,0.6763948591909945,0.6763948591909945,96,219,0.018022503601177062,3.179958506509197,-4.0951
79,sarsa,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.6297750691420085,0.43037974683544306,-6.464556962025316,9.113924050632912,0.6730128848950395,0.6730128848950395,96,219,0.0181215377653373,3.179958506509197,-4.0951
80,sarsa,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.5324942202820324,0.425,-6.5125,9.05,0.6696478204705644,0.6696478204705644,96,219,0.01827883049554557,3.179958506509197,-4.0951
