episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.555,6,collision,1.7569583333333334,0.0,-10.5,6.0,0.999,0.995,4,5,0.00017157796223958336,0.0,-0.9980000000000001
2,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.655000000000001,6,collision,1.7735416666666668,0.0,-10.5,6.0,0.998001,0.990025,8,10,0.00034477539062500003,0.0,-0.9980000000000001
3,q_learning,epsilon_greedy,potential,6,0,-10.8,-10.83,9,collision,1.2018333333333333,0.0,-10.6,7.0,0.997002999,0.985074875,14,18,0.0005208251953125,0.0,-0.9990000000000001
4,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.44,5,collision,2.083015,0.0,-10.55,6.5,0.996005996001,0.9801495006250001,16,22,0.0006903413899739583,0.0,-0.9990000000000001
5,q_learning,epsilon_greedy,potential,6,0,-10.8,-10.897499999999999,9,collision,1.20409125,0.0,-10.6,7.0,0.995009990004999,0.9752487531218751,19,27,0.0008667219441731771,0.0,-0.9990000000000001
6,q_learning,epsilon_greedy,potential,6,0,-10.3,-10.3875,4,collision,2.596875,0.0,-10.549999999999999,6.5,0.994014980014994,0.9703725093562657,21,31,0.001035789326985677,0.0,-0.9990000000000001
7,q_learning,epsilon_greedy,potential,6,0,-12.0,-11.905,21,collision,0.5559387142857143,0.0,-10.757142857142856,8.571428571428571,0.993020965034979,0.9655206468094844,28,41,0.0012258074422200522,0.0,-0.9990000000000001
8,q_learning,epsilon_greedy,potential,6,1,-2.5999999999999925,-2.287499999999998,28,collision,0.7624294285714286,0.125,-9.7375,11.0,0.9920279440699441,0.960693043575437,36,54,0.0015717225463867189,0.957975,-0.9990000000000001
9,q_learning,epsilon_greedy,potential,6,0,-10.6,-10.7975,7,collision,1.5216180285714287,0.1111111111111111,-9.833333333333334,10.555555555555555,0.9910359161258742,0.9558895783575597,38,57,0.001745083975423177,0.957975,-0.9990000000000001
10,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.515,5,collision,2.10025,0.1,-9.89,10.0,0.9900448802097482,0.9511101304657719,41,61,0.0019160027579752604,0.957975,-0.9990000000000001
11,q_learning,epsilon_greedy,potential,6,0,-10.2,-10.2575,3,collision,3.4072649999999998,0.09090909090909091,-9.91818181818182,9.363636363636363,0.9890548353295385,0.946354579813443,41,62,0.0020823731193033855,0.957975,-0.9990000000000001
12,q_learning,epsilon_greedy,potential,6,0,-13.100000000000001,-12.7375,32,collision,0.3934294103515625,0.08333333333333333,-10.183333333333335,11.25,0.988065780494209,0.9416228069143757,51,80,0.0022872842705281577,0.957975,-0.9990000000000001
13,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.355,5,collision,2.06390634,0.07692307692307693,-10.200000000000001,10.76923076923077,0.9870777147137147,0.9369146928798039,52,82,0.0024552453984578453,0.957975,-0.9990000000000001
14,q_learning,epsilon_greedy,potential,6,0,-10.8,-10.8125,9,collision,1.0833086111111112,0.07142857142857142,-10.242857142857146,10.642857142857142,0.986090636999001,0.9322301194154049,56,86,0.002613933183288574,0.957975,-1.8971750000000003
15,q_learning,epsilon_greedy,potential,6,1,-1.3999999999999986,-1.295,16,collision,1.30308572890625,0.13333333333333333,-9.653333333333336,11.0,0.9851045463620021,0.9275689688183278,60,95,0.0029532784251912435,0.9812500000000001,-1.8971750000000003
16,q_learning,epsilon_greedy,potential,6,0,-10.2,-10.09,3,collision,3.3620833333333335,0.125,-9.6875,10.5,0.98411944181564,0.9229311239742362,61,97,0.0031174426504516606,0.9812500000000001,-1.8971750000000003
17,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.2525,5,collision,2.0435424275,0.11764705882352941,-9.729411764705883,10.176470588235293,0.9831353223738244,0.918316468354365,62,99,0.003283746558939616,0.9812500000000001,-1.8971750000000003
18,q_learning,epsilon_greedy,potential,6,1,-0.40000000000000036,-0.2599999999999998,6,collision,3.1779205166666666,0.16666666666666666,-9.211111111111112,9.944444444444445,0.9821521870514506,0.9137248860125932,62,100,0.003594090359395346,0.9907500000000001,-1.89745
19,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.465,5,collision,1.873888540625,0.15789473684210525,-9.273684210526318,9.68421052631579,0.9811700348643991,0.9091562615825302,62,100,0.0037465877992248534,0.9907500000000001,-1.89745
20,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.415,6,collision,1.5639345833333334,0.15,-9.335,9.5,0.9801888648295347,0.9046104802746175,64,103,0.0038993157858784994,0.9907500000000001,-1.8979
21,q_learning,epsilon_greedy,potential,6,0,-12.3,-11.9925,24,collision,0.44495305709895827,0.14285714285714285,-9.476190476190478,10.19047619047619,0.9792086759647052,0.9000874278732445,64,107,0.00407312557380778,0.9907500000000001,-1.8983500000000002
22,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.2475,5,collision,2.045078388,0.13636363636363635,-9.51818181818182,9.954545454545455,0.9782294672887405,0.8955869907338783,65,110,0.004239554479081218,0.9907500000000001,-1.8983500000000002
23,q_learning,epsilon_greedy,potential,6,1,-1.1999999999999975,-1.33,14,collision,1.4312577635357142,0.17391304347826086,-9.156521739130437,10.130434782608695,0.9772512378214517,0.8911090557802088,68,116,0.004565687433011882,1.086507625,-2.705955
24,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.447500000000002,5,collision,2.2517840287500004,0.16666666666666666,-9.208333333333334,9.916666666666666,0.9762739865836303,0.8866535105013078,70,118,0.004746214412890626,1.086507625,-2.705955
25,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.3725,5,collision,1.533214,0.16,-9.256,9.72,0.9752977125970467,0.8822202429488013,71,121,0.004870987687630209,1.086507625,-3.4346095
26,q_learning,epsilon_greedy,potential,6,0,-10.3,-10.2075,4,collision,2.547999135625,0.15384615384615385,-9.296153846153846,9.5,0.9743224148844496,0.8778091417340573,71,122,0.005036873048022461,1.086507625,-3.4346095
27,q_learning,epsilon_greedy,potential,6,1,-0.3999999999999986,-0.3199999999999985,6,collision,3.3617702572916666,0.18518518518518517,-8.966666666666667,9.37037037037037,0.9733480924695651,0.8734200960253871,72,123,0.005362469101794433,1.086507625,-3.4346095
28,q_learning,epsilon_greedy,potential,6,1,-0.7999999999999972,-0.8874999999999957,10,collision,2.0507438903875,0.21428571428571427,-8.675,9.392857142857142,0.9723747443770956,0.8690529955452602,74,128,0.005689490149993897,1.9686068625000002,-3.4346095
29,q_learning,epsilon_greedy,potential,6,0,-11.4,-11.41,15,collision,0.8637255313259333,0.20689655172413793,-8.76896551724138,9.586206896551724,0.9714023696327185,0.8647077305675338,75,129,0.005885588307201359,1.9686068625000002,-3.4346095
30,q_learning,epsilon_greedy,potential,6,0,-10.3,-10.1325,4,collision,2.301216561338906,0.2,-8.82,9.4,0.9704309672630859,0.8603841919146962,75,129,0.006028681304510025,1.9686068625000002,-3.4346095
31,q_learning,epsilon_greedy,potential,6,0,-10.3,-10.3275,4,collision,2.581875,0.1935483870967742,-8.867741935483872,9.225806451612904,0.9694605362958227,0.8560822709551227,75,133,0.0061967721248225235,1.9686068625000002,-3.4346095
32,q_learning,epsilon_greedy,potential,6,1,-0.5999999999999979,-0.7825000000000006,8,collision,2.544523844475,0.21875,-8.609375,9.1875,0.9684910757595269,0.851801859600347,77,137,0.00652809033373854,1.9686068625000002,-3.4346095
33,q_learning,epsilon_greedy,potential,6,0,-10.9,-10.774999999999999,10,collision,1.3502180221375,0.21212121212121213,-8.678787878787878,9.212121212121213,0.9675225846837673,0.8475428503023453,80,142,0.006702399340678238,1.9686068625000002,-3.4346095
34,q_learning,epsilon_greedy,potential,6,1,-0.1999999999999993,-0.1324999999999985,4,collision,5.0082056249999996,0.23529411764705882,-8.42941176470588,9.058823529411764,0.9665550620990835,0.8433051360508336,82,144,0.007028454394389175,1.9686068625000002,-3.4346095
35,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.67,6,collision,1.7389549625325,0.22857142857142856,-8.488571428571428,8.971428571428572,0.9655885070369844,0.8390886103705794,82,145,0.007198274214948989,1.9686068625000002,-3.4346095
36,q_learning,epsilon_greedy,potential,6,0,-10.3,-10.2125,4,collision,2.7726330625,0.2222222222222222,-8.538888888888888,8.833333333333334,0.9646229185299474,0.8348931673187264,83,148,0.0073745419110752925,1.9686068625000002,-3.4346095
37,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.545,6,collision,1.5842506335416668,0.21621621621621623,-8.59189189189189,8.756756756756756,0.9636582956114175,0.8307187014821328,83,149,0.00752781862329453,1.9686068625000002,-3.4346095
38,q_learning,epsilon_greedy,potential,6,0,-10.8,-10.9075,9,collision,1.0763029629027778,0.21052631578947367,-8.65,8.763157894736842,0.9626946373158061,0.8265651079747222,83,151,0.007683887427308608,1.9686068625000002,-3.4346095
39,q_learning,epsilon_greedy,potential,6,0,-10.2,-10.1725,3,collision,3.3162276317083337,0.20512820512820512,-8.689743589743589,8.615384615384615,0.9617319426784903,0.8224322824348486,83,151,0.00783886475421494,1.9686068625000002,-3.4346095
40,q_learning,epsilon_greedy,potential,6,0,-11.1,-10.952499999999999,12,collision,0.9657393266986565,0.2,-8.75,8.7,0.9607702107358118,0.8183201210226743,84,152,0.008022492225853523,1.9686068625000002,-3.4346095
41,q_learning,epsilon_greedy,potential,6,1,-0.29999999999999893,-0.3650000000000002,5,collision,4.220014284725,0.21951219512195122,-8.543902439024391,8.609756097560975,0.959809440525076,0.8142285204175609,84,154,0.008364453023764087,1.9686068625000002,-3.4346095
42,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.42,6,collision,1.8927510416666666,0.21428571428571427,-8.59047619047619,8.547619047619047,0.9588496310845509,0.810157377815473,85,156,0.008515576172364347,1.9686068625000002,-3.4346095
43,q_learning,epsilon_greedy,potential,6,0,-11.0,-10.875,11,collision,0.9600630774819889,0.20930232558139536,-8.646511627906976,8.604651162790697,0.9578907814534664,0.8061065909263957,85,157,0.008681322452367999,1.9686068625000002,-3.4346095
44,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.447500000000002,5,collision,1.6716568046186189,0.20454545454545456,-8.686363636363636,8.522727272727273,0.9569328906720129,0.8020760579717637,85,157,0.008817362231389696,1.9686068625000002,-3.4346095
45,q_learning,epsilon_greedy,potential,6,1,-0.29999999999999893,-0.5274999999999981,5,collision,3.7710349999999995,0.2222222222222222,-8.5,8.444444444444445,0.9559759577813409,0.798065677681905,85,159,0.009124249845321989,1.9686068625000002,-3.4346095
46,q_learning,epsilon_greedy,potential,6,1,-0.5,-0.3224999999999998,7,collision,2.7476013016086567,0.2391304347826087,-8.326086956521738,8.41304347826087,0.9550199818235596,0.7940753492934954,86,160,0.00943582551445058,1.9686068625000002,-3.4346095
47,q_learning,epsilon_greedy,potential,6,1,-0.7999999999999972,-0.7749999999999968,10,collision,2.0230408765727277,0.2553191489361702,-8.16595744680851,8.446808510638299,0.9540649618417361,0.7901049725470279,87,163,0.009760946830112612,1.9686068625000002,-3.4346095
48,q_learning,epsilon_greedy,potential,6,0,-10.7,-10.6975,8,collision,1.302768943512817,0.25,-8.218749999999998,8.4375,0.9531108968798944,0.7861544476842928,89,165,0.009929310310972007,1.9686068625000002,-3.4346095
49,q_learning,epsilon_greedy,potential,6,0,-10.2,-10.075,3,collision,3.882608485254979,0.24489795918367346,-8.259183673469387,8.326530612244898,0.9521577859830145,0.7822236754458713,89,166,0.010117334564879538,1.9686068625000002,-3.4346095
50,q_learning,epsilon_greedy,potential,6,1,-0.40000000000000036,-0.5400000000000009,6,collision,3.4125952400716293,0.26,-8.101999999999999,8.28,0.9512056281970315,0.778312557068642,89,167,0.010416912344753273,1.9686068625000002,-3.4346095
51,q_learning,epsilon_greedy,potential,6,0,-10.7,-10.7675,8,collision,1.3199087750384577,0.2549019607843137,-8.152941176470586,8.27450980392157,0.9502544225688344,0.7744209942832988,89,170,0.010584983585480936,1.9686068625000002,-3.4346095
52,q_learning,epsilon_greedy,potential,6,0,-10.7,-10.752500000000001,8,collision,1.3123097071531251,0.25,-8.201923076923075,8.26923076923077,0.9493041681462656,0.7705488893118823,89,171,0.0107558572452665,1.9686068625000002,-3.4346095
53,q_learning,epsilon_greedy,potential,6,1,-0.7999999999999989,-0.7949999999999999,10,collision,2.151465531971875,0.2641509433962264,-8.062264150943394,8.30188679245283,0.9483548639781193,0.7666961448653229,89,175,0.011102925243634319,1.9686068625000002,-3.4346095
54,q_learning,epsilon_greedy,potential,6,0,-10.3,-10.3275,4,collision,2.453404323671233,0.25925925925925924,-8.103703703703703,8.222222222222221,0.9474065091141411,0.7628626641409962,89,175,0.01126265208762333,1.9686068625000002,-3.4346095
55,q_learning,epsilon_greedy,potential,6,0,-10.6,-10.6525,7,collision,1.72116123823649,0.2545454545454545,-8.149090909090908,8.2,0.946459102605027,0.7590483508202912,89,177,0.011428322313333869,1.9686068625000002,-3.4346095
56,q_learning,epsilon_greedy,potential,6,0,-10.3,-10.2225,4,collision,2.2248573604275492,0.25,-8.187499999999998,8.125,0.9455126435024219,0.7552531090661897,89,177,0.011567653954019458,1.9686068625000002,-3.4346095
57,q_learning,epsilon_greedy,potential,6,2,8.899999999999991,8.975,14,collision,2.444730398011906,0.2807017543859649,-7.887719298245614,8.228070175438596,0.9445671308589195,0.7514768435208588,90,178,0.012046812925197737,2.855088922088845,-3.4346095
58,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.385,6,collision,1.8019253334306171,0.27586206896551724,-7.932758620689655,8.189655172413794,0.9436225637280606,0.7477194593032545,91,180,0.012219583255786195,2.855088922088845,-3.4346095
59,q_learning,epsilon_greedy,potential,6,0,-10.8,-10.815,9,collision,1.0743075294168556,0.2711864406779661,-7.98135593220339,8.203389830508474,0.9426789411643326,0.7439808620067382,91,181,0.012375389172367439,2.855088922088845,-3.4346095
60,q_learning,epsilon_greedy,potential,6,0,-11.1,-10.9975,12,collision,1.2236593008100067,0.26666666666666666,-8.033333333333333,8.266666666666667,0.9417362622231683,0.7402609576967045,92,184,0.012546844294101932,2.855088922088845,-3.4346095
61,q_learning,epsilon_greedy,potential,6,0,-10.6,-10.495000000000001,7,collision,1.4900139544333797,0.26229508196721313,-8.075409836065575,8.245901639344263,0.9407945259609451,0.736559652908221,93,186,0.012714180878382388,2.855088922088845,-3.4346095
62,q_learning,epsilon_greedy,potential,6,1,-0.4999999999999982,-0.6450000000000014,7,collision,2.97012648620518,0.27419354838709675,-7.953225806451614,8.225806451612904,0.9398537314349842,0.7328768546436799,93,187,0.013049757234382448,2.855088922088845,-3.4346095
63,q_learning,epsilon_greedy,potential,6,2,7.29999999999999,7.660000000000002,30,collision,1.0849095178356,0.30158730158730157,-7.711111111111111,8.571428571428571,0.9389138777035492,0.7292124703704616,95,194,0.013536042389755745,2.855088922088845,-3.4346095
64,q_learning,epsilon_greedy,potential,6,0,-10.3,-10.2125,4,collision,2.198107558848673,0.296875,-7.751562499999999,8.5,0.9379749638258457,0.7255664080186093,95,194,0.013679148350618288,2.855088922088845,-3.4346095
65,q_learning,epsilon_greedy,potential,6,0,-10.6,-10.6375,7,collision,1.5601352546337117,0.2923076923076923,-7.795384615384615,8.476923076923077,0.9370369888620198,0.7219385759785162,96,197,0.013856138150447008,2.855088922088845,-3.4346095
66,q_learning,epsilon_greedy,potential,6,0,-10.7,-10.7675,8,collision,1.0583077916803767,0.2878787878787879,-7.839393939393939,8.469696969696969,0.9360999518731578,0.7183288830986236,96,198,0.013992668376231655,2.855088922088845,-3.434674
67,q_learning,epsilon_greedy,potential,6,1,-0.8999999999999986,-0.9674999999999994,11,collision,1.7254072110747323,0.29850746268656714,-7.735820895522387,8.507462686567164,0.9351638519212846,0.7147372386831305,96,199,0.014298459989217041,2.855088922088845,-3.434674
68,q_learning,epsilon_greedy,potential,6,0,-10.3,-10.4075,4,collision,2.3191782648774977,0.29411764705882354,-7.773529411764705,8.441176470588236,0.9342286880693633,0.7111635524897149,96,199,0.014449448157503333,2.855088922088845,-3.434674
69,q_learning,epsilon_greedy,potential,6,1,-1.2999999999999954,-1.2424999999999997,15,collision,1.7327674166433167,0.30434782608695654,-7.679710144927534,8.53623188405797,0.933294459381294,0.7076077347272662,96,201,0.014797155739569476,2.855088922088845,-3.434674
70,q_learning,epsilon_greedy,potential,6,0,-10.6,-10.63,7,collision,1.4848135863796987,0.3,-7.72142857142857,8.514285714285714,0.9323611649219127,0.7040696960536299,96,201,0.01495590406051743,2.855088922088845,-3.434674
