episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.46,6,collision,1.7423750000000002,0.0,-10.5,6.0,0.999,0.995,4,5,8.507690429687501e-05,0.0,-0.49800000000000005
2,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.56,6,collision,1.7589583333333334,0.0,-10.5,6.0,0.998001,0.990025,8,10,0.0001709635416666667,0.0,-0.49800000000000005
3,q_learning,epsilon_greedy,potential,6,0,-10.8,-10.76,9,collision,1.194888888888889,0.0,-10.6,7.0,0.997002999,0.985074875,14,18,0.0002584798177083333,0.0,-0.49900000000000005
4,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.38,5,collision,2.0738075,0.0,-10.55,6.5,0.996005996001,0.9801495006250001,16,22,0.00034286326090494793,0.0,-0.49900000000000005
5,q_learning,epsilon_greedy,potential,6,0,-10.8,-10.795,9,collision,1.1962384722222221,0.0,-10.6,7.0,0.995009990004999,0.9752487531218751,19,27,0.00043047838338216145,0.0,-0.49900000000000005
6,q_learning,epsilon_greedy,potential,6,0,-10.3,-10.325,4,collision,2.58125,0.0,-10.549999999999999,6.5,0.994014980014994,0.9703725093562657,21,31,0.0005145034484863282,0.0,-0.49900000000000005
7,q_learning,epsilon_greedy,potential,6,0,-12.0,-11.71,21,collision,0.5524442291666667,0.0,-10.757142857142856,8.571428571428571,0.993020965034979,0.9655206468094844,28,41,0.0006089153040568035,0.0,-0.49900000000000005
8,q_learning,epsilon_greedy,potential,6,1,-2.5999999999999925,-1.8749999999999982,28,collision,0.7530278638392857,0.125,-9.7375,11.0,0.9920279440699441,0.960693043575437,36,54,0.0007797712626139323,0.48011250000000005,-0.49900000000000005
9,q_learning,epsilon_greedy,potential,6,0,-10.6,-10.695,7,collision,1.5175755308035717,0.1111111111111111,-9.833333333333334,10.555555555555555,0.9910359161258742,0.9558895783575597,38,57,0.000866221691614787,0.48011250000000005,-0.49900000000000005
10,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.430000000000001,5,collision,2.08475,0.1,-9.89,10.0,0.9900448802097482,0.9511101304657719,41,61,0.0009510503862762451,0.48011250000000005,-0.49900000000000005
11,q_learning,epsilon_greedy,potential,6,0,-10.2,-10.215,3,collision,3.399531666666667,0.09090909090909091,-9.91818181818182,9.363636363636363,0.9890548353295385,0.946354579813443,41,62,0.0010340467648569743,0.48011250000000005,-0.49900000000000005
12,q_learning,epsilon_greedy,potential,6,0,-13.100000000000001,-12.425,32,collision,0.3861895236328125,0.08333333333333333,-10.183333333333335,11.25,0.988065780494209,0.9416228069143757,51,80,0.0011346169533030194,0.48011250000000005,-0.49900000000000005
13,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.31,5,collision,2.0587745275000002,0.07692307692307693,-10.200000000000001,10.76923076923077,0.9870777147137147,0.9369146928798039,52,82,0.0012183887032826742,0.48011250000000005,-0.49900000000000005
14,q_learning,epsilon_greedy,potential,6,0,-10.8,-10.725,9,collision,1.1330775694444444,0.07142857142857142,-10.242857142857146,10.642857142857142,0.986090636999001,0.9322301194154049,56,86,0.0013013777830759687,0.48011250000000005,-0.9720875
15,q_learning,epsilon_greedy,potential,6,1,-1.3999999999999986,-1.1900000000000013,16,collision,1.3006146908203124,0.13333333333333333,-9.653333333333336,11.0,0.9851045463620021,0.9275689688183278,60,95,0.0014707286542765298,0.49124999999999996,-0.9720875
16,q_learning,epsilon_greedy,potential,6,0,-10.2,-10.08,3,collision,3.359583333333333,0.125,-9.6875,10.5,0.98411944181564,0.9229311239742362,61,97,0.0015527497317504883,0.49124999999999996,-0.9720875
17,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.205,5,collision,2.0377892415625,0.11764705882352941,-9.729411764705883,10.176470588235293,0.9831353223738244,0.918316468354365,62,99,0.001635667588259379,0.49124999999999996,-0.9720875
18,q_learning,epsilon_greedy,potential,6,1,-0.40000000000000036,-0.22000000000000064,6,collision,3.2579530375,0.16666666666666666,-9.211111111111112,9.944444444444445,0.9821521870514506,0.9137248860125932,62,100,0.0017947473264185588,0.49574999999999997,-0.97235
19,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.43,5,collision,1.9771372778125003,0.15789473684210525,-9.273684210526318,9.68421052631579,0.9811700348643991,0.9091562615825302,62,100,0.001875197248204549,0.49574999999999997,-0.97235
20,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.379999999999999,6,collision,1.64434,0.15,-9.335,9.5,0.9801888648295347,0.9046104802746175,64,103,0.0019554872872670492,0.49574999999999997,-0.972825
21,q_learning,epsilon_greedy,potential,6,0,-12.3,-11.735,24,collision,0.46173851068749994,0.14285714285714285,-9.476190476190478,10.19047619047619,0.9792086759647052,0.9000874278732445,64,107,0.0020456705901357015,0.49574999999999997,-0.9733
