episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.42,6,collision,1.7489166666666667,0.0,-10.5,6.0,0.999,0.995,4,5,8.539632161458333e-05,0.001999999999999999,-0.496
2,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.62,6,collision,1.76875,0.0,-10.5,6.0,0.998001,0.990025,8,10,0.0001717610677083333,0.001999999999999999,-0.496
3,q_learning,epsilon_greedy,potential,6,0,-10.8,-10.72,9,collision,1.205888888888889,0.0,-10.6,7.0,0.997002999,0.985074875,14,18,0.0002600830078125,0.001999999999999999,-0.49800000000000005
4,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.36,5,collision,2.081565,0.0,-10.55,6.5,0.996005996001,0.9801495006250001,16,22,0.00034478210449218755,0.001999999999999999,-0.49800000000000005
5,q_learning,epsilon_greedy,potential,6,0,-10.8,-10.79,9,collision,1.2053630555555555,0.0,-10.6,7.0,0.995009990004999,0.9752487531218751,19,27,0.0004330655314127604,0.001999999999999999,-0.49800000000000005
6,q_learning,epsilon_greedy,potential,6,0,-10.3,-10.35,4,collision,2.5875,0.0,-10.549999999999999,6.5,0.994014980014994,0.9703725093562657,21,31,0.0005172940470377605,0.001999999999999999,-0.49800000000000005
7,q_learning,epsilon_greedy,potential,6,0,-12.0,-11.420000000000002,21,collision,0.5654558333333334,0.0,-10.757142857142856,8.571428571428571,0.993020965034979,0.9655206468094844,28,41,0.0006139295654296875,0.0029999999999999988,-0.49800000000000005
8,q_learning,epsilon_greedy,potential,6,1,-2.5999999999999925,-1.1500000000000004,28,collision,0.7618421252767856,0.125,-9.7375,11.0,0.9920279440699441,0.960693043575437,36,54,0.0007875264038716633,0.46497499999999997,-0.49800000000000005
9,q_learning,epsilon_greedy,potential,6,0,-10.6,-10.79,7,collision,1.527479530357143,0.1111111111111111,-9.833333333333334,10.555555555555555,0.9910359161258742,0.9558895783575597,38,57,0.0008745410255554198,0.46497499999999997,-0.49800000000000005
10,q_learning,epsilon_greedy,potential,6,0,-10.4,-10.46,5,collision,2.0905,0.1,-9.89,10.0,0.9900448802097482,0.9511101304657719,41,61,0.0009596036883158365,0.46497499999999997,-0.49800000000000005
