episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7491666666666668,0.0,-10.5,6.0,0.999,0.995,4,5,8.540852864583335e-05,0.0,-0.5
2,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7491666666666668,0.0,-10.5,6.0,0.998001,0.990025,8,10,0.0001708170572916667,0.0,-0.5
3,q_learning,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.1994444444444445,0.0,-10.6,7.0,0.997002999,0.985074875,14,18,0.00025866699218749997,0.0,-0.5
4,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.07805,0.0,-10.55,6.5,0.996005996001,0.9801495006250001,16,22,0.00034322306315104166,0.0,-0.5
5,q_learning,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.198225,0.0,-10.6,7.0,0.995009990004999,0.9752487531218751,19,27,0.0004309836832682291,0.0,-0.5
6,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.575,0.0,-10.549999999999999,6.5,0.994014980014994,0.9703725093562657,21,31,0.0005148052978515625,0.0,-0.5
7,q_learning,epsilon_greedy,none,6,0,-12.0,-12.0,21,collision,0.5668065773809524,0.0,-10.757142857142856,8.571428571428571,0.993020965034979,0.9655206468094844,28,41,0.00061167165629069,0.0,-0.5
8,q_learning,epsilon_greedy,none,6,1,-2.5999999999999925,-2.5999999999999925,28,collision,0.8034794866071429,0.125,-9.7375,11.0,0.9920279440699441,0.960693043575437,36,54,0.0007931285705566406,0.4952500000000001,-0.5
9,q_learning,epsilon_greedy,none,6,0,-10.6,-10.6,7,collision,1.50693803125,0.1111111111111111,-9.833333333333334,10.555555555555555,0.9910359161258742,0.9558895783575597,38,57,0.0008789730222066241,0.4952500000000001,-0.5
10,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.079,0.1,-9.89,10.0,0.9900448802097482,0.9511101304657719,41,61,0.0009635677487691242,0.4952500000000001,-0.5
11,q_learning,epsilon_greedy,none,6,0,-10.2,-10.2,3,collision,3.3965083333333332,0.09090909090909091,-9.91818181818182,9.363636363636363,0.9890548353295385,0.946354579813443,41,62,0.0010464903155008951,0.4952500000000001,-0.5
12,q_learning,epsilon_greedy,none,6,0,-13.100000000000001,-13.100000000000001,32,collision,0.406978515625,0.08333333333333333,-10.183333333333335,11.25,0.988065780494209,0.9416228069143757,51,80,0.0011524743039449056,0.4952500000000001,-0.5
13,q_learning,epsilon_greedy,none,6,0,-10.6,-10.6,7,collision,1.509765892857143,0.07692307692307693,-10.215384615384616,10.923076923076923,0.9870777147137147,0.9369146928798039,52,82,0.0012384798479715981,0.4952500000000001,-0.5
14,q_learning,epsilon_greedy,none,6,0,-10.7,-10.7,8,collision,1.33310006640625,0.07142857142857142,-10.25,10.714285714285714,0.986090636999001,0.9322301194154049,54,86,0.001325270216878255,0.4952500000000001,-0.5
15,q_learning,epsilon_greedy,none,6,0,-11.6,-11.6,17,collision,0.6805007352941177,0.06666666666666667,-10.34,11.133333333333333,0.9851045463620021,0.9275689688183278,55,96,0.001419415012613932,0.4952500000000001,-0.5
16,q_learning,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.135999592890625,0.0625,-10.368749999999999,11.0,0.98411944181564,0.9229311239742362,57,98,0.0015026181077963509,0.4952500000000001,-0.9750000000000001
17,q_learning,epsilon_greedy,none,6,1,-0.1999999999999993,-0.1999999999999993,4,collision,4.9178125,0.11764705882352941,-9.770588235294115,10.588235294117647,0.9831353223738244,0.918316468354365,57,99,0.0016627031501140592,0.499775,-0.9750000000000001
18,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.5700475,0.1111111111111111,-9.799999999999999,10.222222222222221,0.9821521870514506,0.9137248860125932,57,100,0.0017463635505046843,0.499775,-0.9750000000000001
19,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.66258125,0.10526315789473684,-9.836842105263157,10.0,0.9811700348643991,0.9091562615825302,57,102,0.0018275442756023406,0.499775,-0.9750000000000001
20,q_learning,epsilon_greedy,none,6,0,-12.3,-12.3,24,collision,0.5057917257592854,0.1,-9.959999999999999,10.7,0.9801888648295347,0.9046104802746175,58,106,0.0019263317220397011,0.499775,-0.9750000000000001
21,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.0715183250003126,0.09523809523809523,-9.980952380952381,10.428571428571429,0.9792086759647052,0.9000874278732445,59,108,0.0020106220184671225,0.499775,-0.9750000000000001
22,q_learning,epsilon_greedy,none,6,1,-1.1999999999999975,-1.1999999999999975,14,collision,1.5044820366015625,0.13636363636363635,-9.58181818181818,10.590909090909092,0.9782294672887405,0.8955869907338783,62,113,0.0021820311046684727,0.52228625,-0.9750000000000001
23,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.076247375,0.13043478260869565,-9.617391304347825,10.347826086956522,0.9772512378214517,0.8911090557802088,65,117,0.0022665138266329907,0.52228625,-0.9750000000000001
24,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,1.8829025000000001,0.125,-9.649999999999999,10.125,0.9762739865836303,0.8866535105013078,66,119,0.002343129325493668,0.52228625,-1.42625
25,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.4456965461800584,0.12,-9.675999999999998,9.88,0.9752977125970467,0.8822202429488013,66,119,0.0024227418432729666,0.52228625,-1.42625
26,q_learning,epsilon_greedy,none,6,1,-0.3999999999999986,-0.3999999999999986,6,collision,3.3942225016620053,0.15384615384615385,-9.319230769230769,9.73076923076923,0.9743224148844496,0.8778091417340573,67,120,0.002583759380789015,0.52228625,-1.42625
27,q_learning,epsilon_greedy,none,6,1,-0.7999999999999972,-0.7999999999999972,10,collision,2.0995948171718752,0.18518518518518517,-9.003703703703703,9.74074074074074,0.9733480924695651,0.8734200960253871,69,124,0.0027481439476695593,1.0186618125,-1.42625
28,q_learning,epsilon_greedy,none,6,0,-11.4,-11.4,15,collision,0.7537175416666667,0.17857142857142858,-9.089285714285714,9.928571428571429,0.9723747443770956,0.8690529955452602,71,127,0.002840150483517541,1.0186618125,-1.42625
29,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.5622696796875,0.1724137931034483,-9.131034482758619,9.724137931034482,0.9714023696327185,0.8647077305675338,72,128,0.002923557699653202,1.0186618125,-1.42625
30,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.57375,0.16666666666666666,-9.169999999999998,9.533333333333333,0.9704309672630859,0.8603841919146962,73,131,0.0030073386241323686,1.0186618125,-1.42625
31,q_learning,epsilon_greedy,none,6,1,-0.5999999999999979,-0.5999999999999979,8,collision,2.563298338398926,0.1935483870967742,-8.893548387096773,9.483870967741936,0.9694605362958227,0.8560822709551227,75,135,0.0031742200263718823,1.0186618125,-1.42625
32,q_learning,epsilon_greedy,none,6,0,-10.9,-10.9,10,collision,1.193095750750023,0.1875,-8.956249999999999,9.5,0.9684910757595269,0.851801859600347,78,140,0.003249847339414025,1.0186618125,-1.42625
33,q_learning,epsilon_greedy,none,6,1,-0.1999999999999993,-0.1999999999999993,4,collision,5.045065625,0.21212121212121213,-8.69090909090909,9.333333333333334,0.9675225846837673,0.8475428503023453,79,142,0.00341407473606116,1.0186618125,-1.42625
34,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7361455911907226,0.20588235294117646,-8.744117647058822,9.235294117647058,0.9665550620990835,0.8433051360508336,79,143,0.0034988474700060196,1.0186618125,-1.42625
35,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.64087828125,0.2,-8.788571428571428,9.085714285714285,0.9655885070369844,0.8390886103705794,80,145,0.0035788115559028297,1.0186618125,-1.42625
36,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.6615987453125,0.19444444444444445,-8.83611111111111,9.0,0.9646229185299474,0.8348931673187264,80,145,0.0036599443071387914,1.0186618125,-1.42625
37,q_learning,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.1151738441145833,0.1891891891891892,-8.889189189189189,9.0,0.9636582956114175,0.8307187014821328,80,147,0.003739889219580045,1.0186618125,-1.42625
38,q_learning,epsilon_greedy,none,6,0,-10.2,-10.2,3,collision,3.1578201297083335,0.18421052631578946,-8.923684210526314,8.842105263157896,0.9626946373158061,0.8265651079747222,80,147,0.0038114367628000567,1.0186618125,-1.42625
39,q_learning,epsilon_greedy,none,6,0,-11.1,-11.1,12,collision,0.9174639794270834,0.1794871794871795,-8.97948717948718,8.923076923076923,0.9617319426784903,0.8224322824348486,81,149,0.0039010328545409823,1.0186618125,-1.42625
40,q_learning,epsilon_greedy,none,6,1,-0.5999999999999979,-0.5999999999999979,8,collision,2.6580504558984375,0.2,-8.77,8.9,0.9607702107358118,0.8183201210226743,81,153,0.00407082780609687,1.0186618125,-1.42625
41,q_learning,epsilon_greedy,none,6,0,-10.6,-10.6,7,collision,1.5090501830357144,0.1951219512195122,-8.814634146341463,8.853658536585366,0.959809440525076,0.8142285204175609,82,155,0.004156792578893501,1.0186618125,-1.42625
42,q_learning,epsilon_greedy,none,6,0,-10.6,-10.6,7,collision,1.4392230357142857,0.19047619047619047,-8.857142857142858,8.80952380952381,0.9588496310845509,0.810157377815473,82,157,0.004238779568232693,1.0186618125,-1.42625
43,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,1.8776962562500001,0.18604651162790697,-8.893023255813953,8.720930232558139,0.9578907814534664,0.8061065909263957,82,157,0.004315183224492866,1.0186618125,-1.42625
44,q_learning,epsilon_greedy,none,6,1,-0.3999999999999986,-0.3999999999999986,6,collision,3.1595058901041666,0.20454545454545456,-8.7,8.659090909090908,0.9569328906720129,0.8020760579717637,83,160,0.004469455973033109,1.0186618125,-1.8549375000000001
45,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.797183875,0.2,-8.739999999999998,8.6,0.9559759577813409,0.798065677681905,84,163,0.004551206904836495,1.0186618125,-1.8549375000000001
46,q_learning,epsilon_greedy,none,6,0,-10.7,-10.7,8,collision,1.3314217654296876,0.1956521739130435,-8.782608695652172,8.58695652173913,0.9550199818235596,0.7940753492934954,85,166,0.004637888009356657,1.0186618125,-1.8549375000000001
47,q_learning,epsilon_greedy,none,6,1,-0.1999999999999993,-0.1999999999999993,4,collision,4.736056527145374,0.2127659574468085,-8.599999999999998,8.48936170212766,0.9540649618417361,0.7901049725470279,85,166,0.004790428911933003,1.0186618125,-1.8549375000000001
48,q_learning,epsilon_greedy,none,6,1,-0.40000000000000036,-0.40000000000000036,6,collision,3.3939514105083624,0.22916666666666666,-8.429166666666665,8.4375,0.9531108968798944,0.7861544476842928,85,167,0.004954521591482565,1.0186618125,-1.8549375000000001
49,q_learning,epsilon_greedy,none,6,0,-11.4,-11.4,15,collision,0.7690358336072917,0.22448979591836735,-8.489795918367346,8.571428571428571,0.9521577859830145,0.7822236754458713,86,169,0.005046420560128678,1.0186618125,-1.8549375000000001
50,q_learning,epsilon_greedy,none,6,1,-0.7999999999999989,-0.7999999999999989,10,collision,2.0756006594982654,0.24,-8.335999999999999,8.6,0.9512056281970315,0.778312557068642,88,174,0.005205623374243943,1.0186618125,-1.8549375000000001
51,q_learning,epsilon_greedy,none,6,1,-0.7999999999999989,-0.7999999999999989,10,collision,2.1007911833768547,0.2549019607843137,-8.188235294117646,8.627450980392156,0.9502544225688344,0.7744209942832988,88,176,0.005370905452969273,1.0186618125,-1.8549375000000001
52,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.379891547733119,0.25,-8.228846153846153,8.538461538461538,0.9493041681462656,0.7705488893118823,88,176,0.0054483758809553764,1.0186618125,-1.8549375000000001
53,q_learning,epsilon_greedy,none,6,0,-11.1,-11.1,12,collision,0.8741446894934375,0.24528301886792453,-8.283018867924529,8.60377358490566,0.9483548639781193,0.7666961448653229,88,178,0.0055337415732887195,1.0186618125,-1.8549375000000001
54,q_learning,epsilon_greedy,none,6,2,8.899999999999991,8.899999999999991,14,collision,2.3672077547651074,0.2777777777777778,-7.964814814814815,8.703703703703704,0.9474065091141411,0.7628626641409962,89,179,0.005748159501881511,1.511567271796574,-1.8549375000000001
55,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7490697963372224,0.2727272727272727,-8.010909090909092,8.654545454545454,0.946459102605027,0.7590483508202912,90,180,0.005828283823397542,1.511567271796574,-1.8549375000000001
56,q_learning,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.1358110376403983,0.26785714285714285,-8.060714285714285,8.660714285714286,0.9455126435024219,0.7552531090661897,90,180,0.005911473108380971,1.511567271796574,-1.8549375000000001
57,q_learning,epsilon_greedy,none,6,0,-11.1,-11.1,12,collision,1.1920497805054098,0.2631578947368421,-8.114035087719298,8.719298245614034,0.9445671308589195,0.7514768435208588,91,183,0.005986413651334641,1.511567271796574,-1.8549375000000001
58,q_learning,epsilon_greedy,none,6,0,-10.6,-10.6,7,collision,1.5065101387717634,0.25862068965517243,-8.156896551724138,8.689655172413794,0.9436225637280606,0.7477194593032545,93,186,0.006072233727599308,1.511567271796574,-1.8549375000000001
