episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,2.245,0.0,-10.5,6.0,0.999,0.995,4,5,1.99978076171875,2.0,0.7999999999999998
2,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,2.245,0.0,-10.5,6.0,0.998001,0.990025,8,10,1.9995615234375002,2.0,0.7999999999999998
3,q_learning,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.5966666666666667,0.0,-10.6,7.0,0.997002999,0.985074875,14,18,1.9993276367187498,2.0,0.7999999999999998
4,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.6286,0.0,-10.55,6.5,0.996005996001,0.9801495006250001,16,22,1.999113720703125,2.0,0.7999999999999998
5,q_learning,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.5893666666666668,0.0,-10.6,7.0,0.995009990004999,0.9752487531218751,19,27,1.9988809033203125,2.0,0.7999999999999998
6,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,3.225,0.0,-10.549999999999999,6.5,0.994014980014994,0.9703725093562657,21,31,1.9986709423828124,2.0,0.7999999999999998
7,q_learning,epsilon_greedy,none,6,0,-12.0,-12.0,21,collision,0.8303585714285715,0.0,-10.757142857142856,8.571428571428571,0.993020965034979,0.9655206468094844,28,41,1.9983871284179688,2.0,0.7999999999999998
8,q_learning,epsilon_greedy,none,6,1,-2.5999999999999925,-2.5999999999999925,28,collision,1.0359725,0.125,-9.7375,11.0,0.9920279440699441,0.960693043575437,36,54,1.998234992513021,2.9530000000000003,0.7999999999999998
9,q_learning,epsilon_greedy,none,6,0,-10.6,-10.6,7,collision,1.9309538571428573,0.1111111111111111,-9.833333333333334,10.555555555555555,0.9910359161258742,0.9558895783575597,38,57,1.9980149945149739,2.9530000000000003,0.7999999999999998
10,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.634,0.1,-9.89,10.0,0.9900448802097482,0.9511101304657719,41,61,1.9978006390462237,2.9530000000000003,0.7999999999999998
11,q_learning,epsilon_greedy,none,6,0,-10.2,-10.2,3,collision,4.1791,0.09090909090909091,-9.91818181818182,9.363636363636363,0.9890548353295385,0.946354579813443,41,62,1.9975965814290364,2.9530000000000003,0.7999999999999998
