episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.42,6,collision,1.7478333333333333,0.0,-10.5,6.0,0.995,0.995,4,5,0.00017068684895833332,0.003999999999999998,-0.992
2,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.62,6,collision,1.7675,0.0,-10.5,6.0,0.990025,0.990025,8,10,0.0003432942708333333,0.003999999999999998,-0.992
3,q_learning,epsilon_greedy,potential,6,0,-10.8,-10.72,9,collision,1.2051111111111112,0.0,-10.6,7.0,0.985074875,0.985074875,14,18,0.0005198242187500001,0.003999999999999998,-0.9960000000000001
4,q_learning,epsilon_greedy,potential,6,1,-1.5,-0.8399999999999999,17,collision,1.221076,0.25,-8.325,9.5,0.9801495006250001,0.9801495006250001,18,29,0.0008576870442708333,0.9650000000000001,-0.9960000000000001
5,q_learning,epsilon_greedy,potential,6,0,-10.6,-10.58,7,collision,1.5174714285714286,0.2,-8.78,9.0,0.9752487531218751,0.9752487531218751,21,32,0.0010305760416666667,0.9650000000000001,-0.9970000000000001
6,q_learning,epsilon_greedy,potential,6,0,-10.2,-10.120000000000001,3,collision,3.3782,0.16666666666666666,-9.016666666666666,8.0,0.9703725093562657,0.9703725093562657,21,33,0.0011955272135416668,0.9650000000000001,-0.9970000000000001
7,q_learning,epsilon_greedy,potential,6,0,-10.6,-10.51,7,collision,1.35694571,0.14285714285714285,-9.242857142857142,7.857142857142857,0.9655206468094844,0.9655206468094844,21,33,0.0013501271479492186,0.9650000000000001,-1.8868
8,q_learning,epsilon_greedy,potential,6,0,-11.5,-11.07,16,collision,0.7204349999999999,0.125,-9.524999999999999,8.875,0.960693043575437,0.960693043575437,29,47,0.0015377404291992188,0.9650000000000001,-1.8868
9,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.26,6,collision,1.73,0.1111111111111111,-9.633333333333333,8.555555555555555,0.9558895783575597,0.9558895783575597,35,53,0.0017066857416992189,0.9650000000000001,-1.8868
10,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.6,6,collision,1.7547334933333332,0.1,-9.719999999999999,8.3,0.9511101304657719,0.9511101304657719,38,56,0.0018780464344075522,0.9650000000000001,-1.8868
11,q_learning,epsilon_greedy,potential,6,0,-10.6,-10.37,7,collision,1.49506049,0.09090909090909091,-9.799999999999999,8.181818181818182,0.946354579813443,0.946354579813443,39,60,0.0020483821022135415,0.9650000000000001,-1.8868
12,q_learning,epsilon_greedy,potential,6,1,-0.7999999999999972,-0.8800000000000026,10,collision,1.9564220217,0.16666666666666666,-9.049999999999999,8.333333333333334,0.9416228069143757,0.9416228069143757,43,65,0.002366810165641276,1.06985,-2.6911199999999997
13,q_learning,epsilon_greedy,potential,6,0,-11.700000000000001,-10.92,18,collision,0.5843739555555555,0.15384615384615385,-9.253846153846153,9.076923076923077,0.9369146928798039,0.9369146928798039,45,72,0.0025380134729329432,1.06985,-2.6911199999999997
14,q_learning,epsilon_greedy,potential,6,1,-2.0999999999999925,-1.7900000000000045,23,collision,0.9458382052173913,0.21428571428571427,-8.742857142857142,10.071428571428571,0.9322301194154049,0.9322301194154049,49,88,0.0028920870198079433,1.06985,-2.6911199999999997
15,q_learning,epsilon_greedy,potential,6,0,-10.7,-10.17,8,collision,1.30275125,0.2,-8.873333333333331,9.933333333333334,0.9275689688183278,0.9275689688183278,50,92,0.0030617160888183597,1.06985,-2.6911199999999997
16,q_learning,epsilon_greedy,potential,6,0,-10.5,-10.58,6,collision,1.7674383352166665,0.1875,-8.974999999999998,9.6875,0.9229311239742362,0.9229311239742362,52,96,0.003234317488741862,1.06985,-2.6911199999999997
17,q_learning,epsilon_greedy,potential,6,0,-10.8,-10.6,9,collision,1.0725952335023001,0.17647058823529413,-9.082352941176469,9.647058823529411,0.918316468354365,0.918316468354365,54,98,0.0033914359311494253,1.06985,-2.6911199999999997
18,q_learning,epsilon_greedy,potential,6,0,-10.6,-10.440000000000001,7,collision,1.6283748852300002,0.16666666666666666,-9.166666666666664,9.5,0.9137248860125932,0.9137248860125932,57,103,0.0035769604135161247,1.06985,-2.6911199999999997
