episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,q_learning,epsilon_greedy,none,6,3,5.799999999999999,5.799999999999999,146,collision,0.37172815068493154,3.0,5.799999999999999,146.0,0.995,0.995,69,98,0.0008833383789062501,1.0,-1.0
2,q_learning,epsilon_greedy,none,6,7,16.20000000000004,16.20000000000004,446,collision,0.2672527795378654,5.0,11.000000000000018,296.0,0.990025,0.990025,104,167,0.002693245477952856,1.895694679,-1.0
3,q_learning,epsilon_greedy,none,6,6,32.49999999999984,32.49999999999984,182,collision,0.4782350128301679,5.333333333333333,18.166666666666625,258.0,0.985074875,0.985074875,123,204,0.004046649998843933,1.895694679,-1.0
4,q_learning,epsilon_greedy,none,6,5,20.799999999999983,20.799999999999983,198,collision,0.41378271669840017,5.25,18.824999999999964,243.0,0.9801495006250001,0.9801495006250001,129,220,0.005240944433112831,1.9,-1.0
5,q_learning,epsilon_greedy,none,6,4,16.19999999999999,16.19999999999999,143,collision,0.4467390297315301,5.0,18.29999999999997,223.0,0.9752487531218751,0.9752487531218751,133,226,0.00613557258056327,1.9,-1.0
6,q_learning,epsilon_greedy,none,6,6,27.700000000000003,27.700000000000003,230,collision,0.4699794016409474,5.166666666666667,19.866666666666642,224.16666666666666,0.9703725093562657,0.9703725093562657,140,241,0.0074345480197911375,2.71995236110981,-1.0
7,q_learning,epsilon_greedy,none,6,7,44.19999999999996,44.19999999999996,166,collision,0.5919967543711651,5.428571428571429,23.342857142857117,215.85714285714286,0.9655206468094844,0.9655206468094844,142,251,0.008699550681163503,2.71995236110981,-1.0
8,q_learning,epsilon_greedy,none,6,5,12.299999999999994,12.299999999999994,283,collision,0.3308219478412792,5.375,21.962499999999977,224.25,0.960693043575437,0.960693043575437,155,273,0.009877565474728848,3.0662461000000003,-1.0
9,q_learning,epsilon_greedy,none,6,5,18.600000000000023,18.600000000000023,220,collision,0.4955719275423604,5.333333333333333,21.58888888888887,223.77777777777777,0.9558895783575597,0.9558895783575597,158,280,0.010941930313478926,3.468298080246774,-1.9
10,q_learning,epsilon_greedy,none,6,9,64.19999999999992,64.19999999999992,168,collision,0.7542499405255797,5.7,25.849999999999977,218.2,0.9511101304657719,0.9511101304657719,163,286,0.012577930185737267,3.468298080246774,-1.9
11,q_learning,epsilon_greedy,none,6,5,17.39999999999996,17.39999999999996,232,collision,0.41230897536151545,5.636363636363637,25.08181818181816,219.45454545454547,0.946354579813443,0.946354579813443,165,293,0.013683620741541884,3.468298080246774,-1.9
12,q_learning,epsilon_greedy,none,6,7,41.49999999999976,41.49999999999976,193,collision,0.5783145967715828,5.75,26.44999999999996,217.25,0.9416228069143757,0.9416228069143757,176,307,0.015076143708317254,3.708731018027335,-1.9
13,q_learning,epsilon_greedy,none,6,4,12.999999999999925,12.999999999999925,175,collision,0.571482750544875,5.615384615384615,25.415384615384575,214.0,0.9369146928798039,0.9369146928798039,177,309,0.0162316638063275,3.773680438609,-1.9
14,q_learning,epsilon_greedy,none,6,5,31.099999999999987,31.099999999999987,95,collision,0.864642616461455,5.571428571428571,25.82142857142853,205.5,0.9322301194154049,0.9322301194154049,178,310,0.017306543894067782,4.287650177362242,-1.9
15,q_learning,epsilon_greedy,none,6,7,47.79999999999987,47.79999999999987,130,collision,0.909281892350155,5.666666666666667,27.28666666666662,200.46666666666667,0.9275689688183278,0.9275689688183278,183,319,0.018989593893887685,4.287650177362242,-1.9
16,q_learning,epsilon_greedy,none,6,8,46.69999999999993,46.69999999999993,242,collision,0.73737707590468,5.8125,28.499999999999947,203.0625,0.9229311239742362,0.9229311239742362,184,320,0.02113203529105898,5.176457682809463,-1.9
17,q_learning,epsilon_greedy,none,6,8,54.59999999999991,54.59999999999991,163,collision,0.9183375018977917,5.9411764705882355,30.035294117647002,200.7058823529412,0.918316468354365,0.918316468354365,188,325,0.023098550903178316,6.124693105981368,-1.9
18,q_learning,epsilon_greedy,none,6,10,52.49999999999974,52.49999999999974,386,collision,0.7224333209360894,6.166666666666667,31.283333333333264,211.0,0.9137248860125932,0.9137248860125932,194,334,0.026299720101633988,6.124693105981368,-1.9
19,q_learning,epsilon_greedy,none,6,6,33.89999999999998,33.89999999999998,168,collision,0.8886577330327442,6.157894736842105,31.42105263157888,208.73684210526315,0.9091562615825302,0.9091562615825302,196,336,0.02833311695822055,6.124693105981368,-1.9
20,q_learning,epsilon_greedy,none,6,3,1.1999999999999549,1.1999999999999549,192,collision,0.7675224626545102,6.0,29.909999999999933,207.9,0.9046104802746175,0.9046104802746175,196,338,0.02983823280826617,6.053446174921555,-1.9
21,q_learning,epsilon_greedy,none,6,3,11.199999999999932,11.199999999999932,92,collision,0.9730309492276913,5.857142857142857,29.01904761904755,202.38095238095238,0.9000874278732445,0.9000874278732445,197,339,0.03091136430106048,6.053446174921555,-1.9
22,q_learning,epsilon_greedy,none,6,7,40.399999999999956,40.399999999999956,204,collision,0.8324764677149306,5.909090909090909,29.53636363636357,202.45454545454547,0.8955869907338783,0.8955869907338783,199,341,0.03300113912006861,6.053446174921555,-1.9
23,q_learning,epsilon_greedy,none,6,6,36.89999999999986,36.89999999999986,138,collision,0.9758805197158377,5.913043478260869,29.85652173913037,199.65217391304347,0.8911090557802088,0.8911090557802088,201,345,0.03458879587808252,6.053446174921555,-1.9
24,q_learning,epsilon_greedy,none,6,9,54.89999999999972,54.89999999999972,261,collision,0.9724627929113626,6.041666666666667,30.89999999999993,202.20833333333334,0.8866535105013078,0.8866535105013078,204,350,0.03762259582565044,6.053446174921555,-1.9
25,q_learning,epsilon_greedy,none,6,5,32.39999999999994,32.39999999999994,82,collision,1.3726426783002939,6.0,30.959999999999933,197.4,0.8822202429488013,0.8822202429488013,205,351,0.039174680242668784,6.053446174921555,-1.9
26,q_learning,epsilon_greedy,none,6,8,43.19999999999982,43.19999999999982,277,collision,0.9109976504527397,6.076923076923077,31.430769230769158,200.46153846153845,0.8778091417340573,0.8778091417340573,205,352,0.042754747916300295,6.053446174921555,-1.9
27,q_learning,epsilon_greedy,none,6,5,26.999999999999936,26.999999999999936,136,collision,1.074037043515078,6.037037037037037,31.26666666666659,198.07407407407408,0.8734200960253871,0.8734200960253871,207,354,0.0445180252054069,6.053446174921555,-1.9
28,q_learning,epsilon_greedy,none,6,9,53.50000000000002,53.50000000000002,275,collision,1.0336890575688242,6.142857142857143,32.06071428571421,200.82142857142858,0.8690529955452602,0.8690529955452602,209,356,0.04818340952709511,5.934831073156655,-1.9
29,q_learning,epsilon_greedy,none,6,5,32.0,32.0,86,collision,1.2963250200941676,6.103448275862069,32.0586206896551,196.86206896551724,0.8647077305675338,0.8647077305675338,209,357,0.04970420199796208,5.934831073156655,-1.9
30,q_learning,epsilon_greedy,none,6,7,52.69999999999991,52.69999999999991,81,collision,1.7975450075324364,6.133333333333334,32.7466666666666,193.0,0.8603841919146962,0.8603841919146962,209,357,0.05159098154261166,7.547549374567395,-1.9
31,q_learning,epsilon_greedy,none,6,11,81.70000000000002,81.70000000000002,195,collision,1.1957176412354242,6.290322580645161,34.325806451612834,193.06451612903226,0.8560822709551227,0.8560822709551227,210,358,0.05493626145999201,7.7244605712877155,-1.9
32,q_learning,epsilon_greedy,none,6,9,62.50000000000006,62.50000000000006,185,collision,1.2788995385783906,6.375,35.20624999999994,192.8125,0.851801859600347,0.851801859600347,211,360,0.057887592354261296,8.213972857766999,-1.9
33,q_learning,epsilon_greedy,none,6,7,48.69999999999988,48.69999999999988,121,collision,1.361080642836455,6.393939393939394,35.61515151515145,190.63636363636363,0.8475428503023453,0.8475428503023453,211,360,0.059869972884104374,8.213972857766999,-1.9
34,q_learning,epsilon_greedy,none,6,3,15.999999999999957,15.999999999999957,44,collision,1.5888654875029435,6.294117647058823,35.038235294117584,186.3235294117647,0.8433051360508336,0.8433051360508336,211,361,0.06085507736105771,8.213972857766999,-1.9
35,q_learning,epsilon_greedy,none,6,3,16.39999999999997,16.39999999999997,40,collision,1.6796832371367036,6.2,34.50571428571422,182.14285714285714,0.8390886103705794,0.8390886103705794,211,362,0.0618066119427082,8.213972857766999,-1.9
36,q_learning,epsilon_greedy,none,6,3,14.699999999999989,14.699999999999989,57,collision,1.4080369431232629,6.111111111111111,33.95555555555549,178.66666666666666,0.8348931673187264,0.8348931673187264,211,362,0.06300453511578673,8.213972857766999,-2.71
37,q_learning,epsilon_greedy,none,6,3,8.599999999999948,8.599999999999948,118,collision,1.146834289024531,6.027027027027027,33.27027027027021,177.02702702702703,0.8307187014821328,0.8307187014821328,211,363,0.06483914013382552,8.213972857766999,-2.71
38,q_learning,epsilon_greedy,none,6,3,10.599999999999937,10.599999999999937,98,collision,1.390703968414031,5.947368421052632,32.673684210526254,174.94736842105263,0.8265651079747222,0.8265651079747222,211,364,0.06662495575696122,7.754764754272589,-2.71
39,q_learning,epsilon_greedy,none,6,3,12.999999999999957,12.999999999999957,74,collision,1.1561918559438102,5.871794871794871,32.16923076923071,172.35897435897436,0.8224322824348486,0.8224322824348486,211,364,0.0677741075358688,7.754764754272589,-2.71
40,q_learning,epsilon_greedy,none,6,7,49.299999999999876,49.299999999999876,115,collision,1.4796372197940202,5.9,32.59749999999993,170.925,0.8183201210226743,0.8183201210226743,211,364,0.06993316413660629,8.113978971829104,-3.439
